"Metric_Thread_Dia_ISO965-6-2025"
"Dia_mm","Pitch_mm","Class","Thread_Mean_Dia_mm","dmax_mm","dmin_mm"
"3.5","0.6","6g",3.4165,3.479,3.354
"3.5","0.6","6f",3.4015,3.464,3.339
"3.5","0.6","6e",3.3845,3.447,3.322
"4.0","0.5","4h",3.9665,4.0,3.933
"4.0","0.5","6h",3.947,4.0,3.894
"4.0","0.5","6g",3.927,3.98,3.874
"4.0","0.5","6f",3.911,3.964,3.858
"4.0","0.5","6e",3.897,3.95,3.844
"4.0","0.7","4h",3.955,4.0,3.91
"4.0","0.7","6h",3.93,4.0,3.86
"4.0","0.7","6g",3.908,3.978,3.838
"4.0","0.7","6f",3.892,3.962,3.822
"4.0","0.7","6e",3.874,3.944,3.804
"4.5","0.5","4h",4.4665,4.5,4.433
"4.5","0.5","6h",4.447,4.5,4.394
"4.5","0.5","6g",4.427,4.48,4.374
"4.5","0.5","6f",4.411,4.464,4.358
"4.5","0.5","6e",4.397,4.45,4.344
"4.5","0.75","4h",4.455,4.5,4.41
"4.5","0.75","6h",4.43,4.5,4.36
"4.5","0.75","6g",4.408,4.478,4.338
"4.5","0.75","6f",4.392,4.462,4.322
"4.5","0.75","6e",4.374,4.444,4.304
"5.0","0.5","4h",4.9665,5.0,4.933
"5.0","0.5","6h",4.947,5.0,4.894
"5.0","0.5","6g",4.927,4.98,4.874
"5.0","0.5","6f",4.911,4.964,4.858
"5.0","0.5","6e",4.897,4.95,4.844
"5.0","0.8","4h",4.9525,5.0,4.905
"5.0","0.8","6h",4.925,5.0,4.85
"5.0","0.8","6g",4.901,4.976,4.826
"5.0","0.8","6f",4.887,4.962,4.812
"5.0","0.8","6e",4.865,4.94,4.79
"5.5","0.5","4h",5.4665,5.5,5.433
"5.5","0.5","6h",5.447,5.5,5.394
"5.5","0.5","6g",5.427,5.48,5.374
"5.5","0.5","6f",5.411,5.464,5.358
"5.5","0.5","6e",5.397,5.45,5.344
"5.5","0.9","4h",5.44400,5.5000,5.3880
"5.5","0.9","6h",5.40000,5.5000,5.3000
"5.5","0.9","6g",5.38800,5.4760,5.3000
"5.5","0.9","6f",5.38100,5.4620,5.3000
"5.5","0.9","6e",5.37100,5.4420,5.3000
"6.0","0.75","4h",5.955,6.0,5.91
"6.0","0.75","6h",5.93,6.0,5.86
"6.0","0.75","6g",5.908,5.978,5.838
"6.0","0.75","6f",5.892,5.962,5.822
"6.0","0.75","6e",5.874,5.944,5.804
"6.0","1.0","4h",5.944,6.0,5.888
"6.0","1.0","6h",5.91,6.0,5.82
"6.0","1.0","6g",5.884,5.974,5.794
"6.0","1.0","6f",5.87,5.96,5.78
"6.0","1.0","6e",5.85,5.94,5.76
"7.0","0.75","4h",6.955,7.0,6.91
"7.0","0.75","6h",6.93,7.0,6.86
"7.0","0.75","6g",6.908,6.978,6.838
"7.0","0.75","6f",6.892,6.962,6.822
"7.0","0.75","6e",6.874,6.944,6.804
"7.0","1.0","4h",6.944,7.0,6.888
"7.0","1.0","6h",6.91,7.0,6.82
"7.0","1.0","6g",6.884,6.974,6.794
"7.0","1.0","6f",6.87,6.96,6.78
"7.0","1.0","6e",6.85,6.94,6.76
"8.0","0.75","4h",7.955,8.0,7.91
"8.0","0.75","6h",7.93,8.0,7.86
"8.0","0.75","6g",7.908,7.978,7.838
"8.0","0.75","6f",7.892,7.962,7.822
"8.0","0.75","6e",7.874,7.944,7.804
"8.0","1.0","4h",7.944,8.0,7.888
"8.0","1.0","6h",7.91,8.0,7.82
"8.0","1.0","6g",7.884,7.974,7.794
"8.0","1.0","6f",7.87,7.96,7.78
"8.0","1.0","6e",7.85,7.94,7.76
"8.0","1.25","4h",7.934,8.0,7.868
"8.0","1.25","6h",7.894,8.0,7.788
"8.0","1.25","6g",7.866,7.972,7.76
"8.0","1.25","6f",7.852,7.958,7.746
"8.0","1.25","6e",7.831,7.937,7.725
"9.0","0.75","4h",8.955,9.0,8.91
"9.0","0.75","6h",8.93,9.0,8.86
"9.0","0.75","6g",8.908,8.978,8.838
"9.0","0.75","6f",8.892,8.962,8.822
"9.0","0.75","6e",8.874,8.944,8.804
"9.0","1.0","4h",8.944,9.0,8.888
"9.0","1.0","6h",8.91,9.0,8.82
"9.0","1.0","6g",8.884,8.974,8.794
"9.0","1.0","6f",8.87,8.96,8.78
"9.0","1.0","6e",8.85,8.94,8.76
"9.0","1.25","4h",8.934,9.0,8.868
"9.0","1.25","6h",8.894,9.0,8.788
"9.0","1.25","6g",8.866,8.972,8.76
"9.0","1.25","6f",8.852,8.958,8.746
"9.0","1.25","6e",8.831,8.937,8.725
"10.0","0.75","4h",9.955,10.0,9.91
"10.0","0.75","6h",9.93,10.0,9.86
"10.0","0.75","6g",9.908,9.978,9.838
"10.0","0.75","6f",9.892,9.962,9.822
"10.0","0.75","6e",9.874,9.944,9.804
"10.0","1.0","4h",9.944,10.0,9.888
"10.0","1.0","6h",9.91,10.0,9.82
"10.0","1.0","6g",9.884,9.974,9.794
"10.0","1.0","6f",9.87,9.96,9.78
"10.0","1.0","6e",9.85,9.94,9.76
"10.0","1.25","4h",9.934,10.0,9.868
"10.0","1.25","6h",9.894,10.0,9.788
"10.0","1.25","6g",9.866,9.972,9.76
"10.0","1.25","6f",9.852,9.958,9.746
"10.0","1.25","6e",9.831,9.937,9.725
"10.0","1.5","4h",9.925,10.0,9.85
"10.0","1.5","6h",9.882,10.0,9.764
"10.0","1.5","6g",9.85,9.968,9.732
"10.0","1.5","6f",9.837,9.955,9.719
"10.0","1.5","6e",9.815,9.933,9.697
"11.0","0.75","4h",10.955,11.0,10.91
"11.0","0.75","6h",10.93,11.0,10.86
"11.0","0.75","6g",10.908,10.978,10.838
"11.0","0.75","6f",10.892,10.962,10.822
"11.0","0.75","6e",10.874,10.944,10.804
"11.0","1.0","4h",10.944,11.0,10.888
"11.0","1.0","6h",10.91,11.0,10.82
"11.0","1.0","6g",10.884,10.974,10.794
"11.0","1.0","6f",10.87,10.96,10.78
"11.0","1.0","6e",10.85,10.94,10.76
"11.0","1.5","4h",10.925,11.0,10.85
"11.0","1.5","6h",10.882,11.0,10.764
"11.0","1.5","6g",10.85,10.968,10.732
"11.0","1.5","6f",10.837,10.955,10.719
"11.0","1.5","6e",10.815,10.933,10.697
"12.0","1.0","4h",11.944,12.0,11.888
"12.0","1.0","6h",11.91,12.0,11.82
"12.0","1.0","6g",11.884,11.974,11.794
"12.0","1.0","6f",11.87,11.96,11.78
"12.0","1.0","6e",11.85,11.94,11.76
"12.0","1.25","4h",11.934,12.0,11.868
"12.0","1.25","6h",11.894,12.0,11.788
"12.0","1.25","6g",11.866,11.972,11.76
"12.0","1.25","6f",11.852,11.958,11.746
"12.0","1.25","6e",11.831,11.937,11.725
"12.0","1.5","4h",11.925,12.0,11.85
"12.0","1.5","6h",11.882,12.0,11.764
"12.0","1.5","6g",11.85,11.968,11.732
"12.0","1.5","6f",11.837,11.955,11.719
"12.0","1.5","6e",11.815,11.933,11.697
"12.0","1.75","4h",11.915,12.0,11.83
"12.0","1.75","6h",11.8675,12.0,11.735
"12.0","1.75","6g",11.8335,11.966,11.701
"12.0","1.75","6f",11.8195,11.952,11.687
"12.0","1.75","6e",11.7965,11.929,11.664
"14.0","1.0","4h",13.944,14.0,13.888
"14.0","1.0","6h",13.91,14.0,13.82
"14.0","1.0","6g",13.884,13.974,13.794
"14.0","1.0","6f",13.87,13.96,13.78
"14.0","1.0","6e",13.85,13.94,13.76
"14.0","1.5","4h",13.925,14.0,13.85
"14.0","1.5","6h",13.882,14.0,13.764
"14.0","1.5","6g",13.85,13.968,13.732
"14.0","1.5","6f",13.837,13.955,13.719
"14.0","1.5","6e",13.815,13.933,13.697
"14.0","2.0","4h",13.91,14.0,13.82
"14.0","2.0","6h",13.86,14.0,13.72
"14.0","2.0","6g",13.822,13.962,13.682
