"Metric_Thread_Dia_ISO965-6-2025"
"Dia_mm","Pitch_mm","Class","Thread_Mean_Dia_mm","dmax_mm","dmin_mm"
"42.0","1.5","6h",41.882,42.0,41.764
"42.0","1.5","6g",41.85,41.968,41.732
"42.0","1.5","6f",41.837,41.955,41.719
"42.0","1.5","6e",41.815,41.933,41.697
"42.0","2.0","4h",41.91,42.0,41.82
"42.0","2.0","6h",41.86,42.0,41.72
"42.0","2.0","6g",41.822,41.962,41.682
"42.0","2.0","6f",41.808,41.948,41.668
"42.0","2.0","6e",41.789,41.929,41.649
"42.0","3.0","4h",41.882,42.0,41.764
"42.0","3.0","6h",41.8125,42.0,41.625
"42.0","3.0","6g",41.7645,41.952,41.577
"42.0","3.0","6f",41.7495,41.937,41.562
"42.0","3.0","6e",41.7275,41.915,41.54
"42.0","4.0","4h",41.85,42.0,41.7
"42.0","4.0","6h",41.7625,42.0,41.525
"42.0","4.0","6g",41.7025,41.94,41.465
"42.0","4.0","6f",41.6875,41.925,41.45
"42.0","4.0","6e",41.6675,41.905,41.43
"42.0","4.5","4h",41.8425,42.0,41.685
"42.0","4.5","6h",41.75,42.0,41.5
"42.0","4.5","6g",41.687,41.937,41.437
"42.0","4.5","6f",41.67,41.92,41.42
"42.0","4.5","6e",41.65,41.9,41.4
"45.0","1.5","4h",44.925,45.0,44.85
"45.0","1.5","6h",44.882,45.0,44.764
"45.0","1.5","6g",44.85,44.968,44.732
"45.0","1.5","6f",44.837,44.955,44.719
"45.0","1.5","6e",44.815,44.933,44.697
"45.0","2.0","4h",44.91,45.0,44.82
"45.0","2.0","6h",44.86,45.0,44.72
"45.0","2.0","6g",44.822,44.962,44.682
"45.0","2.0","6f",44.808,44.948,44.668
"45.0","2.0","6e",44.789,44.929,44.649
"45.0","3.0","4h",44.882,45.0,44.764
"45.0","3.0","6h",44.8125,45.0,44.625
"45.0","3.0","6g",44.7645,44.952,44.577
"45.0","3.0","6f",44.7495,44.937,44.562
"45.0","3.0","6e",44.7275,44.915,44.54
"45.0","4.0","4h",44.85,45.0,44.7
"45.0","4.0","6h",44.7625,45.0,44.525
"45.0","4.0","6g",44.7025,44.94,44.465
"45.0","4.0","6f",44.6875,44.925,44.45
"45.0","4.0","6e",44.6675,44.905,44.43
"45.0","4.5","4h",44.8425,45.0,44.685
"45.0","4.5","6h",44.75,45.0,44.5
"45.0","4.5","6g",44.687,44.937,44.437
"45.0","4.5","6f",44.67,44.92,44.42
"45.0","4.5","6e",44.65,44.9,44.4
"48.0","1.5","4h",47.925,48.0,47.85
"48.0","1.5","6h",47.882,48.0,47.764
"48.0","1.5","6g",47.85,47.968,47.732
"48.0","1.5","6f",47.837,47.955,47.719
"48.0","1.5","6e",47.815,47.933,47.697
"48.0","2.0","4h",47.91,48.0,47.82
"48.0","2.0","6h",47.86,48.0,47.72
"48.0","2.0","6g",47.822,47.962,47.682
"48.0","2.0","6f",47.808,47.948,47.668
"48.0","2.0","6e",47.789,47.929,47.649
"48.0","3.0","4h",47.882,48.0,47.764
"48.0","3.0","6h",47.8125,48.0,47.625
"48.0","3.0","6g",47.7645,47.952,47.577
"48.0","3.0","6f",47.7495,47.937,47.562
"48.0","3.0","6e",47.7275,47.915,47.54
"48.0","4.0","4h",47.85,48.0,47.7
"48.0","4.0","6h",47.7625,48.0,47.525
"48.0","4.0","6g",47.7025,47.94,47.465
"48.0","4.0","6f",47.6875,47.925,47.45
"48.0","4.0","6e",47.6675,47.905,47.43
"48.0","5.0","4h",47.8325,48.0,47.665
"48.0","5.0","6h",47.735,48.0,47.47
"48.0","5.0","6g",47.664,47.929,47.399
"48.0","5.0","6f",47.65,47.915,47.385
"48.0","5.0","6e",47.629,47.894,47.364
"50.0","1.5","4h",49.925,50.0,49.85
"50.0","1.5","6h",49.882,50.0,49.764
"50.0","1.5","6g",49.85,49.968,49.732
"50.0","1.5","6f",49.837,49.955,49.719
"50.0","1.5","6e",49.815,49.933,49.697
"50.0","2.0","4h",49.91,50.0,49.82
"50.0","2.0","6h",49.86,50.0,49.72
"50.0","2.0","6g",49.822,49.962,49.682
"50.0","2.0","6f",49.808,49.948,49.668
"50.0","2.0","6e",49.789,49.929,49.649
"50.0","3.0","4h",49.882,50.0,49.764
"50.0","3.0","6h",49.8125,50.0,49.625
"50.0","3.0","6g",49.7645,49.952,49.577
"50.0","3.0","6f",49.7495,49.937,49.562
"50.0","3.0","6e",49.7275,49.915,49.54
"52.0","1.5","4h",51.925,52.0,51.85
"52.0","1.5","6h",51.882,52.0,51.764
"52.0","1.5","6g",51.85,51.968,51.732
"52.0","1.5","6f",51.837,51.955,51.719
"52.0","1.5","6e",51.815,51.933,51.697
"52.0","2.0","4h",51.91,52.0,51.82
"52.0","2.0","6h",51.86,52.0,51.72
"52.0","2.0","6g",51.822,51.962,51.682
"52.0","2.0","6f",51.808,51.948,51.668
"52.0","2.0","6e",51.789,51.929,51.649
"52.0","3.0","4h",51.882,52.0,51.764
"52.0","3.0","6h",51.8125,52.0,51.625
"52.0","3.0","6g",51.7645,51.952,51.577
"52.0","3.0","6f",51.7495,51.937,51.562
"52.0","3.0","6e",51.7275,51.915,51.54
"52.0","4.0","4h",51.85,52.0,51.7
"52.0","4.0","6h",51.7625,52.0,51.525
"52.0","4.0","6g",51.7025,51.94,51.465
"52.0","4.0","6f",51.6875,51.925,51.45
"52.0","4.0","6e",51.6675,51.905,51.43
"52.0","5.0","4h",51.8325,52.0,51.665
"52.0","5.0","6h",51.735,52.0,51.47
"52.0","5.0","6g",51.664,51.929,51.399
"52.0","5.0","6f",51.65,51.915,51.385
"52.0","5.0","6e",51.629,51.894,51.364
"55.0","1.5","4h",54.925,55.0,54.85
"55.0","1.5","6h",54.882,55.0,54.764
"55.0","1.5","6g",54.85,54.968,54.732
"55.0","1.5","6f",54.837,54.955,54.719
"55.0","1.5","6e",54.815,54.933,54.697
"55.0","2.0","4h",54.91,55.0,54.82
"55.0","2.0","6h",54.86,55.0,54.72
"55.0","2.0","6g",54.822,54.962,54.682
"55.0","2.0","6f",54.808,54.948,54.668
"55.0","2.0","6e",54.789,54.929,54.649
"55.0","3.0","4h",54.882,55.0,54.764
"55.0","3.0","6h",54.8125,55.0,54.625
"55.0","3.0","6g",54.7645,54.952,54.577
"55.0","3.0","6f",54.7495,54.937,54.562
"55.0","3.0","6e",54.7275,54.915,54.54
"55.0","4.0","4h",54.85,55.0,54.7
"55.0","4.0","6h",54.7625,55.0,54.525
"55.0","4.0","6g",54.7025,54.94,54.465
"55.0","4.0","6f",54.6875,54.925,54.45
"55.0","4.0","6e",54.6675,54.905,54.43
"56.0","1.5","4h",55.925,56.0,55.85
"56.0","1.5","6h",55.882,56.0,55.764
"56.0","1.5","6g",55.85,55.968,55.732
"56.0","1.5","6f",55.837,55.955,55.719
"56.0","1.5","6e",55.815,55.933,55.697
"56.0","2.0","4h",55.91,56.0,55.82
"56.0","2.0","6h",55.86,56.0,55.72
"56.0","2.0","6g",55.822,55.962,55.682
"56.0","2.0","6f",55.808,55.948,55.668
"56.0","2.0","6e",55.789,55.929,55.649
"56.0","3.0","4h",55.882,56.0,55.764
"56.0","3.0","6h",55.8125,56.0,55.625
"56.0","3.0","6g",55.7645,55.952,55.577
"56.0","3.0","6f",55.7495,55.937,55.562
"56.0","3.0","6e",55.7275,55.915,55.54
"56.0","4.0","4h",55.85,56.0,55.7
"56.0","4.0","6h",55.7625,56.0,55.525
"56.0","4.0","6g",55.7025,55.94,55.465
"56.0","4.0","6f",55.6875,55.925,55.45
"56.0","4.0","6e",55.6675,55.905,55.43
"56.0","5.5","4h",55.8225,56.0,55.645
"56.0","5.5","6h",55.72,56.0,55.44
"56.0","5.5","6g",55.645,55.925,55.365
"56.0","5.5","6f",55.63,55.91,55.35
"56.0","5.5","6e",55.608,55.888,55.328
"58.0","1.5","4h",57.925,58.0,57.85
"58.0","1.5","6h",57.882,58.0,57.764
"58.0","1.5","6g",57.85,57.968,57.732
"58.0","1.5","6f",57.837,57.955,57.719
"58.0","1.5","6e",57.815,57.933,57.697
"58.0","2.0","4h",57.91,58.0,57.82
"58.0","2.0","6h",57.86,58.0,57.72
"58.0","2.0","6g",57.822,57.962,57.682
"58.0","2.0","6f",57.808,57.948,57.668
"58.0","2.0","6e",57.789,57.929,57.649
"58.0","3.0","4h",57.882,58.0,57.764
"58.0","3.0","6h",57.8125,58.0,57.625
"58.0","3.0","6g",57.7645,57.952,57.577
"58.0","3.0","6f",57.7495,57.937,57.562
"58.0","3.0","6e",57.7275,57.915,57.54
"58.0","4.0","4h",57.85,58.0,57.7
"58.0","4.0","6h",57.7625,58.0,57.525
"58.0","4.0","6g",57.7025,57.94,57.465
"58.0","4.0","6f",57.6875,57.925,57.45
"58.0","4.0","6e",57.6675,57.905,57.43
"60.0","1.5","4h",59.925,60.0,59.85
"60.0","1.5","6h",59.882,60.0,59.764
"60.0","1.5","6g",59.85,59.968,59.732
"60.0","1.5","6f",59.837,59.955,59.719
"60.0","1.5","6e",59.815,59.933,59.697
"60.0","2.0","4h",59.91,60.0,59.82
"60.0","2.0","6h",59.86,60.0,59.72
"60.0","2.0","6g",59.822,59.962,59.682
"60.0","2.0","6f",59.808,59.948,59.668
"60.0","2.0","6e",59.789,59.929,59.649
"60.0","3.0","4h",59.882,60.0,59.764
"60.0","3.0","6h",59.8125,60.0,59.625
"60.0","3.0","6g",59.7645,59.952,59.577
"60.0","3.0","6f",59.7495,59.937,59.562
"60.0","3.0","6e",59.7275,59.915,59.54
"60.0","4.0","4h",59.85,60.0,59.7
"60.0","4.0","6h",59.7625,60.0,59.525
"60.0","4.0","6g",59.7025,59.94,59.465
"60.0","4.0","6f",59.6875,59.925,59.45
"60.0","4.0","6e",59.6675,59.905,59.43
"60.0","5.5","4h",59.8225,60.0,59.645
"60.0","5.5","6h",59.72,60.0,59.44
"60.0","5.5","6g",59.645,59.925,59.365
"60.0","5.5","6f",59.63,59.91,59.35
"60.0","5.5","6e",59.608,59.888,59.328
"62.0","1.5","4h",61.925,62.0,61.85
"62.0","1.5","6h",61.882,62.0,61.764
"62.0","1.5","6g",61.85,61.968,61.732
"62.0","1.5","6f",61.837,61.955,61.719
"62.0","1.5","6e",61.815,61.933,61.697
"62.0","2.0","4h",61.91,62.0,61.82
"62.0","2.0","6h",61.86,62.0,61.72
"62.0","2.0","6g",61.822,61.962,61.682
"62.0","2.0","6f",61.808,61.948,61.668
"62.0","2.0","6e",61.789,61.929,61.649
"62.0","3.0","4h",61.882,62.0,61.764
"62.0","3.0","6h",61.8125,62.0,61.625
"62.0","3.0","6g",61.7645,61.952,61.577
"62.0","3.0","6f",61.7495,61.937,61.562
"62.0","3.0","6e",61.7275,61.915,61.54
"62.0","4.0","4h",61.85,62.0,61.7
"62.0","4.0","6h",61.7625,62.0,61.525
"62.0","4.0","6g",61.7025,61.94,61.465
"62.0","4.0","6f",61.6875,61.925,61.45
"62.0","4.0","6e",61.6675,61.905,61.43
"64.0","1.5","4h",63.925,64.0,63.85
"64.0","1.5","6h",63.882,64.0,63.764
"64.0","1.5","6g",63.85,63.968,63.732
"64.0","1.5","6f",63.837,63.955,63.719
"64.0","1.5","6e",63.815,63.933,63.697
"64.0","2.0","4h",63.91,64.0,63.82
"64.0","2.0","6h",63.86,64.0,63.72
"64.0","2.0","6g",63.822,63.962,63.682
"64.0","2.0","6f",63.808,63.948,63.668
"64.0","2.0","6e",63.789,63.929,63.649
"64.0","3.0","4h",63.882,64.0,63.764
"64.0","3.0","6h",63.8125,64.0,63.625
"64.0","3.0","6g",63.7645,63.952,63.577
"64.0","3.0","6f",63.7495,63.937,63.562
"64.0","3.0","6e",63.7275,63.915,63.54
"64.0","4.0","4h",63.85,64.0,63.7
"64.0","4.0","6h",63.7625,64.0,63.525
"64.0","4.0","6g",63.7025,63.94,63.465
"64.0","4.0","6f",63.6875,63.925,63.45
"64.0","4.0","6e",63.6675,63.905,63.43
"64.0","6.0","4h",63.8125,64.0,63.625
"64.0","6.0","6h",63.7,64.0,63.4
"64.0","6.0","6g",63.62,63.92,63.32
"64.0","6.0","6f",63.605,63.905,63.305
"64.0","6.0","6e",63.582,63.882,63.282
"65.0","1.5","4h",64.925,65.0,64.85
"65.0","1.5","6h",64.882,65.0,64.764
"65.0","1.5","6g",64.85,64.968,64.732
"65.0","1.5","6f",64.837,64.955,64.719
"65.0","1.5","6e",64.815,64.933,64.697
"65.0","2.0","4h",64.91,65.0,64.82
"65.0","2.0","6h",64.86,65.0,64.72
"65.0","2.0","6g",64.822,64.962,64.682
"65.0","2.0","6f",64.808,64.948,64.668
"65.0","2.0","6e",64.789,64.929,64.649
"65.0","3.0","4h",64.882,65.0,64.764
"65.0","3.0","6h",64.8125,65.0,64.625
"65.0","3.0","6g",64.7645,64.952,64.577
"65.0","3.0","6f",64.7495,64.937,64.562
"65.0","3.0","6e",64.7275,64.915,64.54
"65.0","4.0","4h",64.85,65.0,64.7
"65.0","4.0","6h",64.7625,65.0,64.525
"65.0","4.0","6g",64.7025,64.94,64.465
"65.0","4.0","6f",64.6875,64.925,64.45
"65.0","4.0","6e",64.6675,64.905,64.43
"68.0","1.5","4h",67.925,68.0,67.85
"68.0","1.5","6h",67.882,68.0,67.764
"68.0","1.5","6g",67.85,67.968,67.732
"68.0","1.5","6f",67.837,67.955,67.719
"68.0","1.5","6e",67.815,67.933,67.697
"68.0","2.0","4h",67.91,68.0,67.82
"68.0","2.0","6h",67.86,68.0,67.72
"68.0","2.0","6g",67.822,67.962,67.682
"68.0","2.0","6f",67.808,67.948,67.668
"68.0","2.0","6e",67.789,67.929,67.649
"68.0","3.0","4h",67.882,68.0,67.764
"68.0","3.0","6h",67.8125,68.0,67.625
"68.0","3.0","6g",67.7645,67.952,67.577
"68.0","3.0","6f",67.7495,67.937,67.562
"68.0","3.0","6e",67.7275,67.915,67.54
"68.0","4.0","4h",67.85,68.0,67.7
"68.0","4.0","6h",67.7625,68.0,67.525
"68.0","4.0","6g",67.7025,67.94,67.465
"68.0","4.0","6f",67.6875,67.925,67.45
"68.0","4.0","6e",67.6675,67.905,67.43
"68.0","6.0","4h",67.8125,68.0,67.625
"68.0","6.0","6h",67.7,68.0,67.4
"68.0","6.0","6g",67.62,67.92,67.32
"68.0","6.0","6f",67.605,67.905,67.305
"68.0","6.0","6e",67.582,67.882,67.282
"70.0","1.5","4h",69.925,70.0,69.85
"70.0","1.5","6h",69.882,70.0,69.764
"70.0","1.5","6g",69.85,69.968,69.732
"70.0","1.5","6f",69.837,69.955,69.719
"70.0","1.5","6e",69.815,69.933,69.697
"70.0","2.0","4h",69.91,70.0,69.82
"70.0","2.0","6h",69.86,70.0,69.72
"70.0","2.0","6g",69.822,69.962,69.682
"70.0","2.0","6f",69.808,69.948,69.668
"70.0","2.0","6e",69.789,69.929,69.649
"70.0","3.0","4h",69.882,70.0,69.764
"70.0","3.0","6h",69.8125,70.0,69.625
"70.0","3.0","6g",69.7645,69.952,69.577
"70.0","3.0","6f",69.7495,69.937,69.562
"70.0","3.0","6e",69.7275,69.915,69.54
"70.0","4.0","4h",69.85,70.0,69.7
"70.0","4.0","6h",69.7625,70.0,69.525
"70.0","4.0","6g",69.7025,69.94,69.465
"70.0","4.0","6f",69.6875,69.925,69.45
"70.0","4.0","6e",69.6675,69.905,69.43
"70.0","6.0","4h",69.8125,70.0,69.625
"70.0","6.0","6h",69.7,70.0,69.4
"70.0","6.0","6g",69.62,69.92,69.32
"70.0","6.0","6f",69.605,69.905,69.305
"70.0","6.0","6e",69.582,69.882,69.282
"72.0","1.5","4h",71.925,72.0,71.85
"72.0","1.5","6h",71.882,72.0,71.764
"72.0","1.5","6g",71.85,71.968,71.732
"72.0","1.5","6f",71.837,71.955,71.719
"72.0","1.5","6e",71.815,71.933,71.697
"72.0","2.0","4h",71.91,72.0,71.82
"72.0","2.0","6h",71.86,72.0,71.72
"72.0","2.0","6g",71.822,71.962,71.682
"72.0","2.0","6f",71.808,71.948,71.668
"72.0","2.0","6e",71.789,71.929,71.649
"72.0","3.0","4h",71.882,72.0,71.764
"72.0","3.0","6h",71.8125,72.0,71.625
"72.0","3.0","6g",71.7645,71.952,71.577
"72.0","3.0","6f",71.7495,71.937,71.562
"72.0","3.0","6e",71.7275,71.915,71.54
"72.0","4.0","4h",71.85,72.0,71.7
"72.0","4.0","6h",71.7625,72.0,71.525
"72.0","4.0","6g",71.7025,71.94,71.465
"72.0","4.0","6f",71.6875,71.925,71.45
"72.0","4.0","6e",71.6675,71.905,71.43
"72.0","6.0","4h",71.8125,72.0,71.625
"72.0","6.0","6h",71.7,72.0,71.4
"72.0","6.0","6g",71.62,71.92,71.32
"72.0","6.0","6f",71.605,71.905,71.305
"72.0","6.0","6e",71.582,71.882,71.282
"75.0","1.5","4h",74.925,75.0,74.85
"75.0","1.5","6h",74.882,75.0,74.764
"75.0","1.5","6g",74.85,74.968,74.732
"75.0","1.5","6f",74.837,74.955,74.719
"75.0","1.5","6e",74.815,74.933,74.697
"75.0","2.0","4h",74.91,75.0,74.82
"75.0","2.0","6h",74.86,75.0,74.72
"75.0","2.0","6g",74.822,74.962,74.682
"75.0","2.0","6f",74.808,74.948,74.668
"75.0","2.0","6e",74.789,74.929,74.649
"75.0","3.0","4h",74.882,75.0,74.764
"75.0","3.0","6h",74.8125,75.0,74.625
"75.0","3.0","6g",74.7645,74.952,74.577
"75.0","3.0","6f",74.7495,74.937,74.562
"75.0","3.0","6e",74.7275,74.915,74.54
"75.0","4.0","4h",74.85,75.0,74.7
"75.0","4.0","6h",74.7625,75.0,74.525
"75.0","4.0","6g",74.7025,74.94,74.465
"75.0","4.0","6f",74.6875,74.925,74.45
"75.0","4.0","6e",74.6675,74.905,74.43
"76.0","1.5","4h",75.925,76.0,75.85
"76.0","1.5","6h",75.882,76.0,75.764
"76.0","1.5","6g",75.85,75.968,75.732
"76.0","1.5","6f",75.837,75.955,75.719
"76.0","1.5","6e",75.815,75.933,75.697
"76.0","2.0","4h",75.91,76.0,75.82
"76.0","2.0","6h",75.86,76.0,75.72
"76.0","2.0","6g",75.822,75.962,75.682
"76.0","2.0","6f",75.808,75.948,75.668
"76.0","2.0","6e",75.789,75.929,75.649
"76.0","3.0","4h",75.882,76.0,75.764
"76.0","3.0","6h",75.8125,76.0,75.625
"76.0","3.0","6g",75.7645,75.952,75.577
"76.0","3.0","6f",75.7495,75.937,75.562
"76.0","3.0","6e",75.7275,75.915,75.54
"76.0","4.0","4h",75.85,76.0,75.7
"76.0","4.0","6h",75.7625,76.0,75.525
"76.0","4.0","6g",75.7025,75.94,75.465
"76.0","4.0","6f",75.6875,75.925,75.45
"76.0","4.0","6e",75.6675,75.905,75.43
"76.0","6.0","4h",75.8125,76.0,75.625
"76.0","6.0","6h",75.7,76.0,75.4
"76.0","6.0","6g",75.62,75.92,75.32
"76.0","6.0","6f",75.605,75.905,75.305
"76.0","6.0","6e",75.582,75.882,75.282
"78.0","2.0","4h",77.91,78.0,77.82
"78.0","2.0","6h",77.86,78.0,77.72
"78.0","2.0","6g",77.822,77.962,77.682
"78.0","2.0","6f",77.808,77.948,77.668
"78.0","2.0","6e",77.789,77.929,77.649
"80.0","1.5","4h",79.925,80.0,79.85
"80.0","1.5","6h",79.882,80.0,79.764
"80.0","1.5","6g",79.85,79.968,79.732
"80.0","1.5","6f",79.837,79.955,79.719
"80.0","1.5","6e",79.815,79.933,79.697
"80.0","2.0","4h",79.91,80.0,79.82
"80.0","2.0","6h",79.86,80.0,79.72
"80.0","2.0","6g",79.822,79.962,79.682
"80.0","2.0","6f",79.808,79.948,79.668
"80.0","2.0","6e",79.789,79.929,79.649
"80.0","3.0","4h",79.882,80.0,79.764
"80.0","3.0","6h",79.8125,80.0,79.625
"80.0","3.0","6g",79.7645,79.952,79.577
"80.0","3.0","6f",79.7495,79.937,79.562
"80.0","3.0","6e",79.7275,79.915,79.54
"80.0","4.0","4h",79.85,80.0,79.7
"80.0","4.0","6h",79.7625,80.0,79.525
"80.0","4.0","6g",79.7025,79.94,79.465
"80.0","4.0","6f",79.6875,79.925,79.45
"80.0","4.0","6e",79.6675,79.905,79.43
"80.0","6.0","4h",79.8125,80.0,79.625
"80.0","6.0","6h",79.7,80.0,79.4
"80.0","6.0","6g",79.62,79.92,79.32
"80.0","6.0","6f",79.605,79.905,79.305
"80.0","6.0","6e",79.582,79.882,79.282
"82.0","2.0","4h",81.91,82.0,81.82
"82.0","2.0","6h",81.86,82.0,81.72
"82.0","2.0","6g",81.822,81.962,81.682
"82.0","2.0","6f",81.808,81.948,81.668
"82.0","2.0","6e",81.789,81.929,81.649
"85.0","2.0","4h",84.91,85.0,84.82
"85.0","2.0","6h",84.86,85.0,84.72
"85.0","2.0","6g",84.822,84.962,84.682
"85.0","2.0","6f",84.808,84.948,84.668
"85.0","2.0","6e",84.789,84.929,84.649
"85.0","3.0","4h",84.882,85.0,84.764
"85.0","3.0","6h",84.8125,85.0,84.625
"85.0","3.0","6g",84.7645,84.952,84.577
"85.0","3.0","6f",84.7495,84.937,84.562
"85.0","3.0","6e",84.7275,84.915,84.54
"85.0","4.0","4h",84.85,85.0,84.7
"85.0","4.0","6h",84.7625,85.0,84.525
"85.0","4.0","6g",84.7025,84.94,84.465
"85.0","4.0","6f",84.6875,84.925,84.45
"85.0","4.0","6e",84.6675,84.905,84.43
"85.0","6.0","4h",84.8125,85.0,84.625
"85.0","6.0","6h",84.7,85.0,84.4
"85.0","6.0","6g",84.62,84.92,84.32
"85.0","6.0","6f",84.605,84.905,84.305
"85.0","6.0","6e",84.582,84.882,84.282
"90.0","2.0","4h",89.91,90.0,89.82
"90.0","2.0","6h",89.86,90.0,89.72
"90.0","2.0","6g",89.822,89.962,89.682
"90.0","2.0","6f",89.808,89.948,89.668
"90.0","2.0","6e",89.789,89.929,89.649
"90.0","3.0","4h",89.882,90.0,89.764
"90.0","3.0","6h",89.8125,90.0,89.625
"90.0","3.0","6g",89.7645,89.952,89.577
"90.0","3.0","6f",89.7495,89.937,89.562
"90.0","3.0","6e",89.7275,89.915,89.54
"90.0","4.0","4h",89.85,90.0,89.7
"90.0","4.0","6h",89.7625,90.0,89.525
"90.0","4.0","6g",89.7025,89.94,89.465
"90.0","4.0","6f",89.6875,89.925,89.45
"90.0","4.0","6e",89.6675,89.905,89.43
"90.0","6.0","4h",89.8125,90.0,89.625
"90.0","6.0","6h",89.7,90.0,89.4
"90.0","6.0","6g",89.62,89.92,89.32
"90.0","6.0","6f",89.605,89.905,89.305
"90.0","6.0","6e",89.582,89.882,89.282
"95.0","2.0","4h",94.91,95.0,94.82
"95.0","2.0","6h",94.86,95.0,94.72
"95.0","2.0","6g",94.822,94.962,94.682
"95.0","2.0","6f",94.808,94.948,94.668
"95.0","2.0","6e",94.789,94.929,94.649
"95.0","3.0","4h",94.882,95.0,94.764
"95.0","3.0","6h",94.8125,95.0,94.625
"95.0","3.0","6g",94.7645,94.952,94.577
"95.0","3.0","6f",94.7495,94.937,94.562
"95.0","3.0","6e",94.7275,94.915,94.54
"95.0","4.0","4h",94.85,95.0,94.7
"95.0","4.0","6h",94.7625,95.0,94.525
"95.0","4.0","6g",94.7025,94.94,94.465
"95.0","4.0","6f",94.6875,94.925,94.45
"95.0","4.0","6e",94.6675,94.905,94.43
"95.0","6.0","4h",94.8125,95.0,94.625
"95.0","6.0","6h",94.7,95.0,94.4
"95.0","6.0","6g",94.62,94.92,94.32
"95.0","6.0","6f",94.605,94.905,94.305
"95.0","6.0","6e",94.582,94.882,94.282
"100.0","2.0","4h",99.91,100.0,99.82
"100.0","2.0","6h",99.86,100.0,99.72
"100.0","2.0","6g",99.822,99.962,99.682
"100.0","2.0","6f",99.808,99.948,99.668
"100.0","2.0","6e",99.789,99.929,99.649
"100.0","3.0","4h",99.882,100.0,99.764
"100.0","3.0","6h",99.8125,100.0,99.625
"100.0","3.0","6g",99.7645,99.952,99.577
"100.0","3.0","6f",99.7495,99.937,99.562
"100.0","3.0","6e",99.7275,99.915,99.54
"100.0","4.0","4h",99.85,100.0,99.7
"100.0","4.0","6h",99.7625,100.0,99.525
"100.0","4.0","6g",99.7025,99.94,99.465
"100.0","4.0","6f",99.6875,99.925,99.45
"100.0","4.0","6e",99.6675,99.905,99.43
"100.0","6.0","4h",99.8125,100.0,99.625
"100.0","6.0","6h",99.7,100.0,99.4
"100.0","6.0","6g",99.62,99.92,99.32
"100.0","6.0","6f",99.605,99.905,99.305
"100.0","6.0","6e",99.582,99.882,99.282
