"ASMEB18.6.3.1Adef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","J_max","J_min","T_max","T_min"
"#0",0.3175,2.8448,2.4384,0.889,0.889,0.889,0.889,0.5842,0.4064,0.381,0.254
"#1",0.396875,3.4798,3.048,1.0922,1.0922,1.0922,1.0922,0.6604,0.4826,0.4826,0.3048
"#2",0.453571428571429,4.1148,3.6576,1.2954,1.2954,1.2954,1.2954,0.7874,0.5842,0.5842,0.381
"#3",0.529166666666667,4.7498,4.2418,1.4986,1.4986,1.4986,1.4986,0.889,0.6858,0.6858,0.4318
"#4",0.635,5.3848,4.8514,1.7018,1.7018,1.7018,1.7018,0.9906,0.7874,0.762,0.508
"#5",0.635,6.0198,5.461,1.905,1.905,1.905,1.905,1.0922,0.889,0.8636,0.5588
"#6",0.79375,6.6548,6.0452,2.1082,2.1082,2.1082,2.1082,1.2192,0.9906,0.9652,0.6096
"#8",0.79375,7.9248,7.239,2.54,2.54,2.54,2.54,1.3716,1.143,1.143,0.7366
"#10",1.05833333333333,9.1948,8.4582,2.9464,2.9464,2.9464,2.9464,1.524,1.27,1.3462,0.8636
"#12",1.058333333,10.4648,9.652,3.3528,3.3528,3.3528,3.3528,1.7018,1.4224,1.524,0.9906
"1/4in",1.27,12.1158,11.2268,3.8862,3.8862,3.8862,3.8862,1.905,1.6256,1.778,1.1684
"5/16in",1.41111111111111,15.1638,14.1224,4.8514,4.8514,4.8514,4.8514,2.1336,1.8288,2.2352,1.4732
"3/8in",1.5875,18.2118,17.018,5.842,5.842,5.842,5.842,2.3876,2.0574,2.6924,1.778
"7/16in",1.81428571428571,19.304,18.161,5.6642,5.6642,5.6642,5.6642,2.3876,2.0574,2.6162,1.6764
"1/2in",1.95384615384615,20.701,19.431,5.6642,5.6642,5.6642,5.6642,2.6924,2.3114,2.6162,1.651
"9/16in",2.166666667,23.6728,22.3012,6.604,6.604,6.604,6.604,2.9972,2.5908,3.048,1.9558
"5/8in",2.30909090909091,26.67,25.146,7.5692,7.5692,7.5692,7.5692,3.3782,2.9464,3.4798,2.2352
"3/4in",2.54,32.639,30.861,9.4488,9.4488,9.4488,9.4488,3.7846,3.3274,4.3434,2.8194

"ASMEB18.6.3.1Bdef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","J_max","J_min","T_max","T_min","p_max","p_min"
"#0",0.3175,2.8448,2.4384,0.889,0.889,0.889,0.889,0.5842,0.4064,0.381,0.254,0.9398,0.5334
"#1",0.396875,3.4798,3.048,1.0922,1.0922,1.0922,1.0922,0.6604,0.4826,0.4826,0.3048,1.143,0.7366
"#2",0.453571428571429,4.1148,3.6576,1.2954,1.2954,1.2954,1.2954,0.7874,0.5842,0.5842,0.381,1.3462,0.9398
"#3",0.529166666666667,4.7498,4.2418,1.4986,1.4986,1.4986,1.4986,0.889,0.6858,0.6858,0.4318,1.4732,1.0668
"#4",0.635,5.3848,4.8514,1.7018,1.7018,1.7018,1.7018,0.9906,0.7874,0.762,0.508,2.0066,1.6002
"#5",0.635,6.0198,5.461,1.905,1.905,1.905,1.905,1.0922,0.889,0.8636,0.5588,1.8034,1.3462
"#6",0.79375,6.6548,6.0452,2.1082,2.1082,2.1082,2.1082,1.2192,0.9906,0.9652,0.6096,2.3114,1.8542
"#8",0.79375,7.9248,7.239,2.54,2.54,2.54,2.54,1.3716,1.143,1.143,0.7366,2.7178,2.2606
"#10",1.05833333333333,9.1948,8.4582,2.9464,2.9464,2.9464,2.9464,1.524,1.27,1.3462,0.8636,3.0988,2.6416
"#12",1.058333333,10.4648,9.652,3.3528,3.3528,3.3528,3.3528,1.7018,1.4224,1.524,0.9906,3.4544,2.9972
"1/4in",1.27,12.1158,11.2268,3.8862,3.8862,3.8862,3.8862,1.905,1.6256,1.778,1.1684,3.8862,3.429
"5/16in",1.41111111111111,15.1638,14.1224,4.8514,4.8514,4.8514,4.8514,2.1336,1.8288,2.2352,1.4732,4.9022,4.445
"3/8in",1.5875,18.2118,17.018,5.842,5.842,5.842,5.842,2.3876,2.0574,2.6924,1.778,5.6388,5.1816
"7/16in",1.81428571428571,19.304,18.161,5.6642,5.6642,5.6642,5.6642,2.3876,2.0574,2.6162,1.6764,6.0452,5.588
"1/2in",1.95384615384615,20.701,19.431,5.6642,5.6642,5.6642,5.6642,2.6924,2.3114,2.6162,1.651,6.4262,5.969
"9/16in",2.166666667,23.6728,22.3012,6.604,6.604,6.604,6.604,2.9972,2.5908,3.048,1.9558,7.0104,6.5532
"5/8in",2.30909090909091,26.67,25.146,7.5692,7.5692,7.5692,7.5692,3.3782,2.9464,3.4798,2.2352,7.7978,7.2644
"3/4in",2.54,32.639,30.861,9.4488,9.4488,9.4488,9.4488,3.7846,3.3274,4.3434,2.8194,9.4488,8.9154

"ASMEB18.6.3.1Cdef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","DriveSize","p_max","p_min"
"#1",0.396875,3.4798,3.048,1.0922,1.0922,1.0922,1.0922,"T5",0.4318,0.3048
"#2",0.453571428571429,4.1148,3.6576,1.2954,1.2954,1.2954,1.2954,"T6",0.5588,0.4318
"#3",0.529166666666667,4.7498,4.2418,1.4986,1.4986,1.4986,1.4986,"T8",0.635,0.508
"#4",0.635,5.3848,4.8514,1.7018,1.7018,1.7018,1.7018,"T8",0.8382,0.7112
"#5",0.635,6.0198,5.461,1.905,1.905,1.905,1.905,"T10",1.143,0.889
"#6",0.79375,6.6548,6.0452,2.1082,2.1082,2.1082,2.1082,"T10",1.143,0.889
"#7",0.79375,7.2898,6.6548,2.3114,2.3114,2.3114,2.3114,"T15",1.143,0.889
"#8",0.79375,7.9248,7.239,2.54,2.54,2.54,2.54,"T15",1.2954,1.016
"#10",1.05833333333333,9.1948,8.4582,2.9464,2.9464,2.9464,2.9464,"T20",1.651,1.27
"#12",1.058333333,10.4648,9.652,3.3528,3.3528,3.3528,3.3528,"T25",1.778,1.397
"1/4in",1.27,12.1158,11.2268,3.8862,3.8862,3.8862,3.8862,"T27",1.905,1.397
"5/16in",1.41111111111111,15.1638,14.1224,4.8514,4.8514,4.8514,4.8514,"T40",2.413,1.905
"3/8in",1.5875,18.2118,17.018,5.842,5.842,5.842,5.842,"T40",2.921,2.667
"7/16in",1.81428571428571,19.304,18.161,5.6642,5.6642,5.6642,5.6642,"T50",3.175,2.667
"1/2in",1.95384615384615,20.701,19.431,5.6642,5.6642,5.6642,5.6642,"T50",3.429,3.048
"9/16in",2.166666667,23.6728,22.3012,6.604,6.604,6.604,6.604,"T55",4.064,3.556
"5/8in",2.30909090909091,26.67,25.146,7.5692,7.5692,7.5692,7.5692,"T55",4.064,3.556
"3/4in",2.54,32.639,30.861,9.4488,9.4488,9.4488,9.4488,"T60",5.842,5.207

"ASMEB18.6.3.16Brange"
"ASMEB18.6.3.16Arange"
"ASMEB18.6.3.12Crange"
"ASMEB18.6.3.12Brange"
"ASMEB18.6.3.12Arange"
"ASMEB18.6.3.10Crange"
"ASMEB18.6.3.10Brange"
"ASMEB18.6.3.10Arange"
"ASMEB18.6.3.9Crange"
"ASMEB18.6.3.9Brange"
"ASMEB18.6.3.9Arange"
"ASMEB18.6.3.4Crange"
"ASMEB18.6.3.4Brange"
"ASMEB18.6.3.4Arange"
"ASMEB18.6.3.1Crange"
"ASMEB18.6.3.1Brange"
"ASMEB18.6.3.1Arange"
"Dia","Min_L","Max_L"
"#0","1/16in","1 1/2in"
"#1","1/16in","1 1/2in"
"#2","1/16in","2 1/2in"
"#3","1/8in","2 1/2in"
"#4","1/8in","4in"
"#5","3/16in","4in"
"#6","1/8in","4in"
"#7","1/8in","5in"
"#8","1/8in","5in"
"#10","3/16in","8in"
"#12","1/4in","8in"
"1/4in","3/8in","10in"
"5/16in","1/2in","10in"
"3/8in","1/2in","12in"
"7/16in","3/4in","12in"
"1/2in","3/4in","12in"
"9/16in","3/4in","12in"
"5/8in","3/4in","14in"
"3/4in","1in","14in"
