"ASMEB18.21.1.1def"
"Dia","A_max","A_min","B_max","T_min","W_min","BW_min"
"#2",2.3876,2.2352,4.3688,0.508,0.889,0.6096
"#3",2.7178,2.5654,4.953,0.635,1.016,0.7112
"#4",3.048,2.8956,5.3086,0.635,1.016,0.7112
"#5",3.3782,3.2258,5.9944,0.7874,1.1938,0.8382
"#6",3.7592,3.5814,6.35,0.7874,1.1938,0.8382
"#8",4.4196,4.2418,7.4422,1.016,1.397,0.9652
"#10",5.08,4.9022,8.4836,1.1938,1.5748,1.0922
"#12",5.7658,5.588,9.5758,1.4224,1.778,1.2446
"1/4in",6.604,6.4008,12.3698,1.5748,2.7686,1.9304
"5/16in",8.1788,7.9756,14.8082,1.9812,3.175,2.2098
"3/8in",9.779,9.5758,17.272,2.3876,3.5814,2.5146
"7/16in",11.43,11.176,19.7104,2.7686,3.9624,2.7686
"1/2in",13.0048,12.7508,22.0726,3.175,4.3434,3.048
"9/16in",14.5796,14.3256,24.511,3.5814,4.7752,3.3528
"5/8in",16.2814,15.9512,27.2542,3.9624,5.1562,3.6068
"11/16in",17.8816,17.5514,29.718,4.3688,5.5626,3.8862
"3/4in",19.4564,19.1262,32.131,4.7752,5.9436,4.1656
"13/16in",21.1328,20.7264,34.6202,5.1562,6.35,4.445
"7/8in",22.7076,22.3012,37.0586,5.5626,6.7564,4.7244
"15/16in",24.3332,23.9014,39.5224,5.9436,7.1374,5.0038
"1in",26.0096,25.4762,42.0624,6.35,7.5438,5.2832
"1 1/16in",27.6098,27.0764,44.4754,6.7564,7.9248,5.5372
"1 1/8in",29.2862,28.6766,46.9138,7.1374,8.3312,5.842
"1 3/16in",30.9118,30.2768,49.3522,7.5438,8.7376,6.1214
"1 1/4in",32.512,31.8516,51.7144,7.9248,9.1186,6.3754
"1 5/16in",34.1376,33.4518,54.1782,8.3312,9.525,6.6548
"1 3/8in",35.7632,35.0266,56.3626,8.7376,9.9314,6.9596
"1 7/16in",37.3888,36.6268,59.0296,9.1186,10.3124,7.2136
"1 1/2in",38.9636,38.2016,61.4426,9.525,10.7188,7.493
"1 5/8in",42.2402,41.4782,64.8462,9.8806,10.7696,7.5438
"1 3/4in",45.4406,44.6532,68.0466,9.8806,10.7696,7.5438
"1 7/8in",48.6156,47.8282,71.3994,10.7188,10.8458,7.5946
"2in",51.7906,51.0032,74.5744,10.7188,10.8458,7.5946
"2 1/4in",58.2422,57.4548,81.8134,11.176,11.2268,7.8486
"2 1/2in",64.5922,63.8048,88.1634,11.176,11.2268,7.8486
"2 3/4in",70.9422,70.1548,97.1296,11.6332,12.4714,8.7376
"3in",77.2922,76.5048,103.4796,11.6332,12.4714,8.7376
