"ISO13918length"
"Dia","l1","l1","l1","l1","l1","l1","l1"
"M3","6","8","10","12","16","20"
"M4","8","10","12","16","20","25"
"M5","10"
"M6","12","16","20","25","30"
"M8","12","16","20","25","30","35","40"
"M10","16","20","25","30","35","40"

"ISO13918Alength"
"Dia","l","l","l","l","l","l","l"
"M3","8","10","12","16","20","25"
"M4","8","10","12","16","20","25"
"M5","10","12","15","16","20","25","30"
"M6","10","12","15","16","20","25","30"
