"ASMEB18.6.9.4Bdef"
"Dia","TPI","A_max","A_min","B_max","B_min","C_max","C_min","D_max","D_min","E_max","E_min","F_max","F_min","G_max","G_min"
"#6",32,0.85,0.83,0.43,0.42,0.14,0.12,0.29,0.27,0.38,0.36,0.41,0.40,0.20,0.18
"#12",24,1.08,1.05,0.57,0.53,0.16,0.14,0.32,0.30,0.44,0.42,0.48,0.46,0.23,0.21
"7/16in",14,1.89,1.86,0.93,0.91,0.34,0.33,0.63,0.62,0.81,0.79,0.89,0.87,0.42,0.40
"1/2in",13,1.89,1.86,0.93,0.91,0.34,0.33,0.63,0.62,0.81,0.79,0.89,0.87,0.42,0.40
