"ASMEB18.2.1.8def"
"Dia","b0","P","c","dc","kw","r1","s_max","s_min","e_max","e_min"
"1/4in",19.05,1.27,0.9525,14.2875,2.8575,0.3175,9.525,9.3218,10.9982,10.3886
"5/16in",22.225,1.41111111111111,1.190625,17.4625,3.571875,0.396875,12.7,12.4206,14.6558,13.9192
"3/8in",25.4,1.5875,1.42875,20.6375,4.28625,0.47625,14.2875,13.9954,16.51,15.6972
"7/16in",28.575,1.81428571428571,1.666875,23.8125,5.000625,0.555625,15.875,15.5448,18.3388,17.399
"1/2in",31.75,1.95384615384615,1.905,27.384375,5.715,0.635,19.05,18.6944,21.9964,20.955
"5/8in",38.1,2.30909090909091,2.38125,33.734375,7.14375,0.79375,23.8125,23.4188,27.5082,26.2636
"3/4in",44.45,2.54,2.8575,40.48125,8.5725,0.9525,28.575,27.94,32.9946,31.3436


"ASMEB18.2.1.8range"
"Dia","Min_L","Max_L"
"1/4in","3/8in","4in"
"5/16in","1/2in","4in"
"3/8in","1/2in","5in"
"7/16in","3/4in","5in"
"1/2in","3/4in","6in"
"5/8in","1in","6in"
"3/4in","1in","6in"
