"ISO14584def"
"Dia","P","a_max","b_min","dk_theo","dk_max","dk_min","f_max","f_min","r_min","rf","socket_no","A_ref","t_max","t_min"
"M2",0.4,0.8,25,4.4,3.85,3.75,0.52,0.48,0.1,4.0,"T6",1.75,0.77,0.63
"M2.5",0.45,0.9,25,5.5,4.75,4.65,0.63,0.57,0.1,5.0,"T8",2.4,1.04,0.96
"M3",0.5,1.0,25,6.3,5.6,5.4,0.74,0.66,0.2,6.0,"T10",2.8,1.27,1.13
"M3.5",0.6,1.2,38,8.2,7.4,7.2,0.84,0.76,0.2,8.5,"T15",3.35,1.39,1.21
"M4",0.7,1.4,38,9.4,8.5,8.3,1.05,0.95,0.2,9.5,"T20",3.95,1.59,1.41
"M5",0.8,1.6,38,10.4,9.4,9.2,1.26,1.14,0.3,9.5,"T25",4.5,1.81,1.59
"M6",1.0,2.0,38,12.6,11.4,11.2,1.47,1.33,0.3,12.0,"T30",5.6,2.29,2.11
"M8",1.25,2.5,38,17.3,15.9,15.7,2.10,1.90,0.4,16.5,"T45",7.95,3.18,2.82
"M10",1.5,3.0,38,20.0,18.4,18.2,2.42,2.18,0.5,19.5,"T50",8.95,3.99,3.61

"ISO14584range"
"Dia","Min_L","Max_L"
"M2","3","20"
"M2.5","3","25"
"M3","4","30"
"M3.5","5","35"
"M4","5","40"
"M5","6","50"
"M6","8","60"
"M8","10","60"
"M10","12","60"
