"Metric_Internal_Thread_D1max_ISO965-6-2025"
"Dia_mm","Pitch_mm","Class","D1max_mm"
"14.0","1.5","7H",12.751
"14.0","2.0","7H",12.31
"15.0","1.0","7H",14.217
"15.0","1.5","7H",13.751
"16.0","1.0","7H",15.217
"16.0","1.5","7H",14.751
"16.0","2.0","7H",14.31
"17.0","1.0","7H",16.217
"17.0","1.5","7H",15.751
"18.0","1.0","7H",17.217
"18.0","1.5","7H",16.751
"18.0","2.0","7H",16.31
"18.0","2.5","7H",15.854
"20.0","1.0","7H",19.217
"20.0","1.5","7H",18.751
"20.0","2.0","7H",18.31
"20.0","2.5","7H",17.854
"22.0","1.0","7H",21.217
"22.0","1.5","7H",20.751
"22.0","2.0","7H",20.31
"22.0","2.5","7H",19.854
"24.0","1.0","7H",23.217
"24.0","1.5","7H",22.751
"24.0","2.0","7H",22.31
"24.0","3.0","7H",21.382
"25.0","1.0","7H",24.217
"25.0","1.5","7H",23.751
"25.0","2.0","7H",23.31
"26.0","1.5","7H",24.751
"27.0","1.0","7H",26.217
"27.0","1.5","7H",25.751
"27.0","2.0","7H",25.31
"27.0","3.0","7H",24.382
"28.0","1.0","7H",27.217
"28.0","1.5","7H",26.751
"28.0","2.0","7H",26.31
"30.0","1.0","7H",29.217
"30.0","1.5","7H",28.751
"30.0","2.0","7H",28.31
"30.0","3.0","7H",27.382
"30.0","3.5","7H",26.921
"32.0","1.5","7H",30.751
"32.0","2.0","7H",30.31
"33.0","1.5","7H",31.751
"33.0","2.0","7H",31.31
"33.0","3.0","7H",30.382
"33.0","3.5","7H",29.921
"36.0","1.5","7H",34.751
"36.0","2.0","7H",34.31
"36.0","3.0","7H",33.382
"36.0","4.0","7H",32.42
"38.0","1.5","7H",36.751
"39.0","1.5","7H",37.751
"39.0","2.0","7H",37.31
"39.0","3.0","7H",36.382
"39.0","4.0","7H",35.42
"40.0","1.5","7H",38.751
"40.0","2.0","7H",38.31
"40.0","3.0","7H",37.382
"42.0","1.5","7H",40.751
"42.0","2.0","7H",40.31
"42.0","3.0","7H",39.382
"42.0","4.0","7H",38.42
"42.0","4.5","7H",37.979
"45.0","1.5","7H",43.751
"45.0","2.0","7H",43.31
"45.0","3.0","7H",42.382
"45.0","4.0","7H",41.42
"45.0","4.5","7H",40.979
"48.0","1.5","7H",46.751
"48.0","2.0","7H",46.31
"48.0","3.0","7H",45.382
"48.0","4.0","7H",44.42
"48.0","5.0","7H",43.487
"50.0","1.5","7H",48.751
"50.0","2.0","7H",48.31
"50.0","3.0","7H",47.382
"52.0","1.5","7H",50.751
"52.0","2.0","7H",50.31
"52.0","3.0","7H",49.382
"52.0","4.0","7H",48.42
"52.0","5.0","7H",47.487
"55.0","1.5","7H",53.751
"55.0","2.0","7H",53.31
"55.0","3.0","7H",52.382
"55.0","4.0","7H",51.42
"56.0","1.5","7H",54.751
"56.0","2.0","7H",54.31
"56.0","3.0","7H",53.382
"56.0","4.0","7H",52.42
"56.0","5.5","7H",50.996
"58.0","1.5","7H",56.751
"58.0","2.0","7H",56.31
"58.0","4.0","7H",54.42
"60.0","1.5","7H",58.751
"60.0","2.0","7H",58.31
"60.0","3.0","7H",57.382
"60.0","4.0","7H",56.42
"60.0","5.5","7H",54.996
"62.0","1.5","7H",60.751
"62.0","2.0","7H",60.31
"62.0","3.0","7H",59.382
"62.0","4.0","7H",58.42
"64.0","1.5","7H",62.751
"64.0","2.0","7H",62.31
"64.0","3.0","7H",61.382
"64.0","4.0","7H",60.42
"64.0","6.0","7H",58.505
"65.0","1.5","7H",63.751
"65.0","2.0","7H",63.31
"65.0","3.0","7H",62.382
"65.0","4.0","7H",61.42
"68.0","1.5","7H",66.751
"68.0","2.0","7H",66.31
"68.0","3.0","7H",65.382
"68.0","4.0","7H",64.42
"68.0","6.0","7H",62.505
"70.0","1.5","7H",68.751
"70.0","2.0","7H",68.31
"70.0","3.0","7H",67.382
"70.0","4.0","7H",66.42
"70.0","6.0","7H",64.505
"72.0","1.5","7H",70.751
"72.0","2.0","7H",70.31
"72.0","3.0","7H",69.382
"72.0","4.0","7H",68.42
"72.0","6.0","7H",66.505
"75.0","1.5","7H",73.751
"75.0","2.0","7H",73.31
"75.0","3.0","7H",72.382
"75.0","4.0","7H",71.42
"76.0","1.5","7H",74.751
"76.0","2.0","7H",74.31
"76.0","3.0","7H",73.382
"76.0","4.0","7H",72.42
"76.0","6.0","7H",70.505
"78.0","2.0","7H",76.31
"80.0","1.5","7H",78.751
"80.0","2.0","7H",78.31
"80.0","3.0","7H",77.382
"80.0","4.0","7H",76.42
"80.0","6.0","7H",74.505
"82.0","2.0","7H",80.31
"85.0","2.0","7H",83.31
"85.0","3.0","7H",82.382
"85.0","4.0","7H",81.42
"85.0","6.0","7H",79.505
"90.0","2.0","7H",88.31
"90.0","3.0","7H",87.382
"90.0","4.0","7H",86.42
"90.0","6.0","7H",84.505
"95.0","2.0","7H",93.31
"95.0","3.0","7H",92.382
"95.0","4.0","7H",91.42
"95.0","6.0","7H",89.505
"100.0","2.0","7H",98.31
"100.0","3.0","7H",97.382
"100.0","4.0","7H",96.42
"100.0","6.0","7H",94.505
"105.0","2.0","7H",103.31
"105.0","3.0","7H",102.382
"105.0","4.0","7H",101.42
"105.0","6.0","7H",99.505
"110.0","2.0","7H",108.31
"110.0","3.0","7H",107.382
"110.0","4.0","7H",106.42
"110.0","6.0","7H",104.505
"115.0","2.0","7H",113.31
"115.0","3.0","7H",112.382
"115.0","4.0","7H",111.42
"115.0","6.0","7H",109.505
"120.0","2.0","7H",118.31
"120.0","3.0","7H",117.382
"120.0","4.0","7H",116.42
"120.0","6.0","7H",114.505
"125.0","2.0","7H",123.31
"125.0","3.0","7H",122.382
"125.0","4.0","7H",121.42
"125.0","6.0","7H",119.505
"125.0","8.0","7H",117.59
"130.0","2.0","7H",128.31
"130.0","3.0","7H",127.382
"130.0","4.0","7H",126.42
"130.0","6.0","7H",124.505
"130.0","8.0","7H",122.59
"135.0","2.0","7H",133.31
"135.0","3.0","7H",132.382
"135.0","4.0","7H",131.42
"135.0","6.0","7H",129.505
"140.0","2.0","7H",138.31
"140.0","3.0","7H",137.382
"140.0","4.0","7H",136.42
"140.0","6.0","7H",134.505
"140.0","8.0","7H",132.59
"145.0","2.0","7H",143.31
"145.0","3.0","7H",142.382
"145.0","4.0","7H",141.42
"145.0","6.0","7H",139.505
"150.0","2.0","7H",148.31
"150.0","3.0","7H",147.382
"150.0","4.0","7H",146.42
"150.0","6.0","7H",144.505
"150.0","8.0","7H",142.59
"155.0","3.0","7H",152.382
"155.0","4.0","7H",151.42
"155.0","6.0","7H",149.505
"160.0","3.0","7H",157.382
"160.0","4.0","7H",156.42
"160.0","6.0","7H",154.505
"160.0","8.0","7H",152.59
"165.0","3.0","7H",162.382
"165.0","4.0","7H",161.42
"165.0","6.0","7H",159.505
"170.0","3.0","7H",167.382
"170.0","4.0","7H",166.42
"170.0","6.0","7H",164.505
"170.0","8.0","7H",162.59
"175.0","3.0","7H",172.382
"175.0","4.0","7H",171.42
"175.0","6.0","7H",169.505
"180.0","3.0","7H",177.382
"180.0","4.0","7H",176.42
"180.0","6.0","7H",174.505
"180.0","8.0","7H",172.59
"185.0","3.0","7H",182.382
"185.0","4.0","7H",181.42
"185.0","6.0","7H",179.505
"190.0","3.0","7H",187.382
"190.0","4.0","7H",186.42
"190.0","6.0","7H",184.505
"190.0","8.0","7H",182.59
"195.0","3.0","7H",192.382
"195.0","4.0","7H",191.42
"195.0","6.0","7H",189.505
"200.0","3.0","7H",197.382
"200.0","4.0","7H",196.42
"200.0","6.0","7H",194.505
"200.0","8.0","7H",192.59
"1.4","0.3","6G",1.178
"1.6","0.35","6G",1.34
"1.8","0.35","6G",1.54
"2.0","0.4","6G",1.698
"2.2","0.45","6G",1.858
"2.5","0.35","6G",2.24
"2.5","0.45","6G",2.158
"3.0","0.35","6G",2.74
"3.0","0.5","6G",2.619
"3.5","0.35","6G",3.24
"3.5","0.6","6G",3.031
"4.0","0.5","6G",3.619
"4.0","0.7","6G",3.444
"4.5","0.5","6G",4.119
"4.5","0.75","6G",3.9
"5.0","0.5","6G",4.619
"5.0","0.8","6G",4.358
"5.5","0.5","6G",5.119
"6.0","0.75","6G",5.4
"6.0","1.0","6G",5.179
"7.0","0.75","6G",6.4
"7.0","1.0","6G",6.179
"8.0","0.75","6G",7.4
"8.0","1.0","6G",7.179
"8.0","1.25","6G",6.94
"9.0","0.75","6G",8.4
"9.0","1.0","6G",8.179
"9.0","1.25","6G",7.94
"10.0","0.75","6G",9.4
"10.0","1.0","6G",9.179
"10.0","1.25","6G",8.94
"10.0","1.5","6G",8.708
"11.0","0.75","6G",10.4
"11.0","1.0","6G",10.179
"11.0","1.5","6G",9.708
"12.0","1.0","6G",11.179
"12.0","1.25","6G",10.94
"12.0","1.5","6G",10.708
"12.0","1.75","6G",10.475
"14.0","1.0","6G",13.179
"14.0","1.5","6G",12.708
"14.0","2.0","6G",12.248
"15.0","1.0","6G",14.179
"15.0","1.5","6G",13.708
"16.0","1.0","6G",15.179
"16.0","1.5","6G",14.708
"16.0","2.0","6G",14.248
"17.0","1.0","6G",16.179
"17.0","1.5","6G",15.708
"18.0","1.0","6G",17.179
"18.0","1.5","6G",16.708
"18.0","2.0","6G",16.248
"18.0","2.5","6G",15.786
"20.0","1.0","6G",19.179
"20.0","1.5","6G",18.708
"20.0","2.0","6G",18.248
"20.0","2.5","6G",17.786
"22.0","1.0","6G",21.179
"22.0","1.5","6G",20.708
"22.0","2.0","6G",20.248
"22.0","2.5","6G",19.786
"24.0","1.0","6G",23.179
"24.0","1.5","6G",22.708
"24.0","2.0","6G",22.248
"24.0","3.0","6G",21.3
"25.0","1.0","6G",24.179
"25.0","1.5","6G",23.708
"25.0","2.0","6G",23.248
"26.0","1.5","6G",24.708
"27.0","1.0","6G",26.179
"27.0","1.5","6G",25.708
"27.0","2.0","6G",25.248
"27.0","3.0","6G",24.3
"28.0","1.0","6G",27.179
"28.0","1.5","6G",26.708
"28.0","2.0","6G",26.248
"30.0","1.0","6G",29.179
"30.0","1.5","6G",28.708
"30.0","2.0","6G",28.248
"30.0","3.0","6G",27.3
"30.0","3.5","6G",26.824
"32.0","1.5","6G",30.708
"32.0","2.0","6G",30.248
"33.0","1.5","6G",31.708
"33.0","2.0","6G",31.248
"33.0","3.0","6G",30.3
"33.0","3.5","6G",29.824
"36.0","1.5","6G",34.708
"36.0","2.0","6G",34.248
"36.0","3.0","6G",33.3
"36.0","4.0","6G",32.33
"38.0","1.5","6G",36.708
"39.0","1.5","6G",37.708
"39.0","2.0","6G",37.248
"39.0","3.0","6G",36.3
"39.0","4.0","6G",35.33
"40.0","1.5","6G",38.708
"40.0","2.0","6G",38.248
"40.0","3.0","6G",37.3
"42.0","1.5","6G",40.708
"42.0","2.0","6G",40.248
"42.0","3.0","6G",39.3
"42.0","4.0","6G",38.33
"42.0","4.5","6G",37.862
"45.0","1.5","6G",43.708
"45.0","2.0","6G",43.248
"45.0","3.0","6G",42.3
"45.0","4.0","6G",41.33
"45.0","4.5","6G",40.862
"48.0","1.5","6G",46.708
"48.0","2.0","6G",46.248
"48.0","3.0","6G",45.3
"48.0","4.0","6G",44.33
"48.0","5.0","6G",43.368
"50.0","1.5","6G",48.708
"50.0","2.0","6G",48.248
"50.0","3.0","6G",47.3
"52.0","1.5","6G",50.708
"52.0","2.0","6G",50.248
"52.0","3.0","6G",49.3
"52.0","4.0","6G",48.33
"52.0","5.0","6G",47.368
"55.0","1.5","6G",53.708
"55.0","2.0","6G",53.248
"55.0","3.0","6G",52.3
"55.0","4.0","6G",51.33
"56.0","1.5","6G",54.708
"56.0","2.0","6G",54.248
"56.0","3.0","6G",53.3
"56.0","4.0","6G",52.33
"56.0","5.5","6G",50.871
"58.0","1.5","6G",56.708
"58.0","2.0","6G",56.248
"58.0","4.0","6G",54.33
"60.0","1.5","6G",58.708
"60.0","2.0","6G",58.248
"60.0","3.0","6G",57.3
"60.0","4.0","6G",56.33
"60.0","5.5","6G",54.871
"62.0","1.5","6G",60.708
"62.0","2.0","6G",60.248
"62.0","3.0","6G",59.3
"62.0","4.0","6G",58.33
"64.0","1.5","6G",62.708
"64.0","2.0","6G",62.248
"64.0","3.0","6G",61.3
"64.0","4.0","6G",60.33
"64.0","6.0","6G",58.385
"65.0","1.5","6G",63.708
"65.0","2.0","6G",63.248
"65.0","3.0","6G",62.3
"65.0","4.0","6G",61.33
"68.0","1.5","6G",66.708
"68.0","2.0","6G",66.248
"68.0","3.0","6G",65.3
"68.0","4.0","6G",64.33
"68.0","6.0","6G",62.385
"70.0","1.5","6G",68.708
"70.0","2.0","6G",68.248
"70.0","3.0","6G",67.3
"70.0","4.0","6G",66.33
"70.0","6.0","6G",64.385
"72.0","1.5","6G",70.708
"72.0","2.0","6G",70.248
"72.0","3.0","6G",69.3
"72.0","4.0","6G",68.33
"72.0","6.0","6G",66.385
"75.0","1.5","6G",73.708
"75.0","2.0","6G",73.248
"75.0","3.0","6G",72.3
"75.0","4.0","6G",71.33
"76.0","1.5","6G",74.708
"76.0","2.0","6G",74.248
"76.0","3.0","6G",73.3
"76.0","4.0","6G",72.33
"76.0","6.0","6G",70.385
"78.0","2.0","6G",76.248
"80.0","1.5","6G",78.708
"80.0","2.0","6G",78.248
"80.0","3.0","6G",77.3
"80.0","4.0","6G",76.33
"80.0","6.0","6G",74.385
"82.0","2.0","6G",80.248
"85.0","2.0","6G",83.248
"85.0","3.0","6G",82.3
"85.0","4.0","6G",81.33
"85.0","6.0","6G",79.385
"90.0","2.0","6G",88.248
"90.0","3.0","6G",87.3
"90.0","4.0","6G",86.33
"90.0","6.0","6G",84.385
"95.0","2.0","6G",93.248
"95.0","3.0","6G",92.3
"95.0","4.0","6G",91.33
"95.0","6.0","6G",89.385
"100.0","2.0","6G",98.248
"100.0","3.0","6G",97.3
"100.0","4.0","6G",96.33
"100.0","6.0","6G",94.385
"105.0","2.0","6G",103.248
"105.0","3.0","6G",102.3
"105.0","4.0","6G",101.33
"105.0","6.0","6G",99.385
"110.0","2.0","6G",108.248
"110.0","3.0","6G",107.3
"110.0","4.0","6G",106.33
"110.0","6.0","6G",104.385
"115.0","2.0","6G",113.248
"115.0","3.0","6G",112.3
"115.0","4.0","6G",111.33
"115.0","6.0","6G",109.385
"120.0","2.0","6G",118.248
"120.0","3.0","6G",117.3
"120.0","4.0","6G",116.33
"120.0","6.0","6G",114.385
"125.0","2.0","6G",123.248
"125.0","3.0","6G",122.3
"125.0","4.0","6G",121.33
"125.0","6.0","6G",119.385
"125.0","8.0","6G",117.44
"130.0","2.0","6G",128.248
"130.0","3.0","6G",127.3
"130.0","4.0","6G",126.33
"130.0","6.0","6G",124.385
"130.0","8.0","6G",122.44
"135.0","2.0","6G",133.248
"135.0","3.0","6G",132.3
"135.0","4.0","6G",131.33
"135.0","6.0","6G",129.385
"140.0","2.0","6G",138.248
"140.0","3.0","6G",137.3
"140.0","4.0","6G",136.33
"140.0","6.0","6G",134.385
"140.0","8.0","6G",132.44
"145.0","2.0","6G",143.248
"145.0","3.0","6G",142.3
"145.0","4.0","6G",141.33
"145.0","6.0","6G",139.385
"150.0","2.0","6G",148.248
"150.0","3.0","6G",147.3
"150.0","4.0","6G",146.33
"150.0","6.0","6G",144.385
"150.0","8.0","6G",142.44
"155.0","3.0","6G",152.3
"155.0","4.0","6G",151.33
"155.0","6.0","6G",149.385
"160.0","3.0","6G",157.3
"160.0","4.0","6G",156.33
"160.0","6.0","6G",154.385
"160.0","8.0","6G",152.44
"165.0","3.0","6G",162.3
"165.0","4.0","6G",161.33
"165.0","6.0","6G",159.385
"170.0","3.0","6G",167.3
"170.0","4.0","6G",166.33
"170.0","6.0","6G",164.385
"170.0","8.0","6G",162.44
"175.0","3.0","6G",172.3
"175.0","4.0","6G",171.33
"175.0","6.0","6G",169.385
"180.0","3.0","6G",177.3
"180.0","4.0","6G",176.33
"180.0","6.0","6G",174.385
"180.0","8.0","6G",172.44
"185.0","3.0","6G",182.3
"185.0","4.0","6G",181.33
"185.0","6.0","6G",179.385
"190.0","3.0","6G",187.3
"190.0","4.0","6G",186.33
"190.0","6.0","6G",184.385
"190.0","8.0","6G",182.44
"195.0","3.0","6G",192.3
"195.0","4.0","6G",191.33
"195.0","6.0","6G",189.385
"200.0","3.0","6G",197.3
"200.0","4.0","6G",196.33
"200.0","6.0","6G",194.385
"200.0","8.0","6G",192.44
