"ASMEB18.6.9.3def"
"Dia","TPI","A_max","A_min","B_max","B_min","C_max","C_min","D_max","D_min","E_max","E_min","G_max","G_min"
"#5",40,0.81,0.75,0.62,0.56,0.12,0.09,0.28,0.22,0.31,0.28,0.22,0.16
"#10",24,1.01,0.95,0.78,0.72,0.14,0.11,0.35,0.29,0.39,0.36,0.28,0.22
"1/4in",20,1.22,1.16,0.94,0.88,0.16,0.13,0.41,0.35,0.47,0.44,0.34,0.28
"5/16in",18,1.43,1.37,1.09,1.03,0.17,0.14,0.48,0.42,0.55,0.52,0.41,0.34
"3/8in",16,1.63,1.57,1.25,1.19,0.18,0.15,0.55,0.49,0.63,0.60,0.47,0.41
"7/16in",14,1.90,1.84,1.42,1.36,0.19,0.16,0.62,0.56,0.71,0.68,0.53,0.47
"1/2in",13,2.13,2.04,1.58,1.45,0.20,0.17,0.69,0.60,0.79,0.76,0.62,0.50
"9/16in",12,2.40,2.28,1.75,1.62,0.22,0.18,0.76,0.67,0.88,0.84,0.69,0.56
"5/8in",11,2.60,2.48,1.91,1.78,0.23,0.19,0.83,0.74,0.96,0.92,0.75,0.62
"3/4in",10,3.02,2.90,2.22,2.09,0.24,0.20,0.97,0.88,1.12,1.08,0.88,0.75
