"ASMEB18.6.9.6def"
"Dia","TPI","A_max","A_min","B_max","B_min","C_max","C_min","D_max","D_min","E_max","E_min","G_max","G_min"
"#5",40,0.92,0.89,0.70,0.67,0.16,0.15,0.26,0.24,0.38,0.36,0.25,0.24
"#6",32,0.92,0.89,0.70,0.67,0.16,0.15,0.26,0.24,0.38,0.36,0.25,0.24
"#8",32,0.92,0.89,0.70,0.67,0.16,0.15,0.26,0.24,0.38,0.36,0.25,0.24
"#10",24,1.14,1.12,0.85,0.83,0.19,0.17,0.32,0.30,0.44,0.42,0.29,0.27
"#12",24,1.14,1.12,0.85,0.83,0.19,0.17,0.32,0.30,0.44,0.42,0.29,0.27
"1/4in",20,1.14,1.12,0.85,0.83,0.19,0.17,0.32,0.30,0.44,0.42,0.29,0.27
"5/16in",18,1.29,1.27,1.04,1.02,0.23,0.22,0.39,0.36,0.50,0.49,0.35,0.34
"3/8in",16,1.51,1.49,1.20,1.18,0.27,0.25,0.45,0.42,0.62,0.60,0.43,0.42
