"ASMEB18.9.6def"
"Dia","e_max","e_min","a_max","a_min_sharp","a_abs_min","f_max","s_max","s_min","g_max","g_min"
"3/8in",0.375,0.360,0.661,0.640,0.603,0.050,0.239,0.208,0.268,0.253
"7/16in",0.438,0.421,0.776,0.749,0.709,0.058,0.282,0.246,0.329,0.314
"1/2in",0.500,0.483,0.892,0.859,0.814,0.068,0.328,0.286,0.392,0.377

"ASMEB18.9.6range"
"Dia","Min_L","Max_L"
"3/8in","1/2in","12in"
"7/16in","3/4in","12in"
"1/2in","3/4in","12in"
