"UN_UNR_Thread_Outer_Dia_Table2_ASME_B1.1"
"Dia","TPI","Series","Class","Thread_Outer_Dia","Major_Max","Major_Min"
"5 1/2",12,"UN","3A",5.4943,5.5,5.4886
"5 1/2",16,"UN","2A",5.4935,5.4982,5.4888
"5 1/2",16,"UN","3A",5.4953,5.5,5.4906
"5 5/8",6,"UN","2A",5.6127,5.6218,5.6036
"5 5/8",6,"UN","3A",5.6159,5.625,5.6068
"5 5/8",8,"UN","2A",5.6145,5.622,5.607
"5 5/8",8,"UN","3A",5.6175,5.625,5.61
"5 5/8",12,"UN","2A",5.6173,5.623,5.6116
"5 5/8",12,"UN","3A",5.6193,5.625,5.6136
"5 5/8",16,"UN","2A",5.6185,5.6232,5.6138
"5 5/8",16,"UN","3A",5.6203,5.625,5.6156
"5 3/4",4,"UN","2A",5.7344,5.7463,5.7225
"5 3/4",4,"UN","3A",5.7381,5.75,5.7262
"5 3/4",6,"UN","2A",5.7377,5.7468,5.7286
"5 3/4",6,"UN","3A",5.7409,5.75,5.7318
"5 3/4",8,"UN","2A",5.7395,5.747,5.732
"5 3/4",8,"UN","3A",5.7425,5.75,5.735
"5 3/4",12,"UN","2A",5.7422,5.7479,5.7365
"5 3/4",12,"UN","3A",5.7443,5.75,5.7386
"5 3/4",16,"UN","2A",5.7434,5.7481,5.7387
"5 3/4",16,"UN","3A",5.7453,5.75,5.7406
"5 7/8",6,"UN","2A",5.8626,5.8717,5.8535
"5 7/8",6,"UN","3A",5.8659,5.875,5.8568
"5 7/8",8,"UN","2A",5.8645,5.872,5.857
"5 7/8",8,"UN","3A",5.8675,5.875,5.86
"5 7/8",12,"UN","2A",5.8672,5.8729,5.8615
"5 7/8",12,"UN","3A",5.8693,5.875,5.8636
"5 7/8",16,"UN","2A",5.8684,5.8731,5.8637
"5 7/8",16,"UN","3A",5.8703,5.875,5.8656
"6",4,"UN","2A",5.9844,5.9963,5.9725
"6",4,"UN","3A",5.9881,6.0,5.9762
"6",6,"UN","2A",5.9876,5.9967,5.9785
"6",6,"UN","3A",5.9909,6.0,5.9818
"6",8,"UN","2A",5.9895,5.997,5.982
"6",8,"UN","3A",5.9925,6.0,5.985
"6",12,"UN","2A",5.9922,5.9979,5.9865
"6",12,"UN","3A",5.9943,6.0,5.9886
"6",16,"UN","2A",5.9934,5.9981,5.9887
"6",16,"UN","3A",5.9953,6.0,5.9906
