"ISO4161def"
"Dia","P","c_min","da_max","da_min","dc","dw","e","m_max","m_min","mw","s_max","s_min","rc"
"M5",0.8,1.0,5.75,5.0,11.8,9.8,8.79,5.0,4.7,2.5,8.0,7.78,0.3
"M6",1.0,1.1,6.75,6.0,14.2,12.2,11.05,6.0,5.7,3.1,10.0,9.78,0.4
"M8",1.25,1.2,8.75,8.0,17.9,15.8,14.38,8.0,7.64,4.6,13.0,12.73,0.5
"M10",1.5,1.5,10.8,10.0,21.8,19.6,16.64,10.0,9.64,5.6,15.0,14.73,0.6
"M12",1.75,1.8,13.0,12.0,26.0,23.8,20.03,12.0,11.57,6.8,18.0,17.73,0.7
"M14",2.0,2.1,15.1,14.0,29.9,27.6,23.36,14.0,13.3,7.7,21.0,20.67,0.9
"M16",2.0,2.4,17.3,16.0,34.5,31.9,26.75,16.0,15.3,8.9,24.0,23.67,1.0
"M20",2.5,3.0,21.6,20.0,42.8,39.9,32.95,20.0,18.7,10.7,30.0,29.16,1.2
