"ASMEB18.2.2.6def"
"Dia","TPI","F_max","F_min","G_max","G_min","H_max","H_min","T_max","T_min","S_max","S_min"
"1/4in",20,11.1252,10.8712,12.827,12.3952,5.7404,5.3848,3.556,3.048,2.54,1.778
"5/16in",18,12.7,12.4206,14.6558,14.1478,6.9342,6.5532,4.572,4.064,3.048,2.286
"3/8in",16,14.2748,13.9954,16.51,15.9512,8.5598,8.128,5.334,4.826,3.81,3.048
"7/16in",14,17.4752,17.145,20.1676,19.5072,9.779,9.271,5.842,5.334,3.81,3.048
"1/2in",13,19.05,18.6944,21.9964,21.336,11.3792,10.8458,7.366,6.858,4.572,3.81
"9/16in",12,22.225,21.8694,25.654,24.9428,12.5984,12.0142,7.874,7.366,4.572,3.81
"5/8in",11,23.8252,23.4188,27.5082,26.6954,14.1986,13.589,8.636,8.128,6.096,4.572
"3/4in",10,28.575,27.6352,32.9946,31.496,16.891,15.6718,10.16,9.652,6.096,4.572
"7/8in",9,33.3248,32.2326,38.5064,36.7538,19.7104,18.3896,13.208,12.446,6.096,4.572
"1in",8,38.1,36.83,43.9928,41.9862,22.5298,21.1074,14.986,14.224,7.62,6.096
"1 1/8in",7,42.8752,41.4274,49.5046,47.2186,25.3746,23.8506,16.256,15.494,8.382,6.096
"1 1/4in",7,47.625,46.0248,54.991,52.4764,27.7876,26.162,17.78,17.018,10.16,7.874
"1 3/8in",6,52.3748,50.6476,60.5028,57.7342,30.6324,28.9052,20.828,19.812,10.16,7.874
"1 1/2in",6,57.15,55.245,65.9892,62.992,33.4518,31.623,21.844,20.828,11.684,9.398
