"ISO7041def"
"Dia","P","da_max","da_min","dw","e","h_max","h_min","m","mw","s_max","s_min"
"M5",0.8,5.75,5.0,7.2,8.79,7.35,6.77,4.8,3.84,8.0,7.78
"M6",1.0,6.75,6.0,8.88,11.05,8.5,7.92,5.4,4.32,10.0,9.78
"M7",1.0,7.75,7.0,9.63,12.12,9.9,9.32,6.84,5.47,11.0,10.73
"M8",1.25,8.75,8.0,11.63,14.38,10.2,9.5,7.14,5.71,13.0,12.73
"M10",1.5,10.8,10.0,14.63,17.77,12.8,12.1,8.94,7.15,16.0,15.73
"M12",1.75,12.96,12.0,16.63,20.03,16.1,15.4,11.57,9.26,18.0,17.73
"M14",2.0,15.12,14.0,19.64,23.36,18.3,17.0,13.4,10.72,21.0,20.67
"M16",2.0,17.28,16.0,22.49,26.75,20.7,19.4,15.7,12.56,24.0,23.67
"M18",2.5,19.44,18.0,24.85,29.56,23.0,21.7,16.9,13.52,27.0,26.16
"M20",2.5,21.6,20.0,27.7,32.95,25.1,23.0,19.0,15.2,30.0,29.16
"M22",2.5,23.76,22.0,31.35,37.29,27.4,25.3,20.5,16.4,34.0,33.0
"M24",3.0,25.92,24.0,33.25,39.55,29.5,27.4,22.6,18.08,36.0,35.0
"M27",3.0,29.16,27.0,38.0,45.2,32.8,30.3,25.4,20.32,41.0,40.0
"M30",3.5,32.4,30.0,42.75,50.85,35.6,33.1,27.3,21.84,46.0,45.0
"M33",3.5,35.64,33.0,46.55,55.37,39.2,36.7,30.9,24.72,50.0,49.0
"M36",4.0,38.88,36.0,51.11,60.79,42.6,40.1,33.1,26.48,55.0,53.8
"M39",4.0,42.12,39.0,55.86,66.44,46.0,43.5,35.9,28.72,60.0,58.8
