"ASMEB18.5.8def"
"Dia","TPI","E_max","E_min","A_max","A_min","F","H_max","H_min","O_max","O_min","AC","P_max","P_min","S","Q"
"#10",24,0.199,0.182,0.548,0.5,0.015,0.131,0.112,0.199,0.185,0.236,0.125,0.094,0.181,0.031
"1/4in",20,0.26,0.237,0.682,0.625,0.018,0.154,0.135,0.26,0.245,0.321,0.156,0.125,0.222,0.031
"5/16in",18,0.324,0.298,0.821,0.75,0.023,0.184,0.159,0.324,0.307,0.408,0.219,0.188,0.296,0.031
"3/8in",16,0.388,0.36,0.96,0.875,0.027,0.212,0.183,0.388,0.368,0.481,0.25,0.219,0.345,0.047
"7/16in",14,0.452,0.421,1.093,1.0,0.03,0.235,0.205,0.452,0.431,0.571,0.281,0.25,0.385,0.047
"1/2in",13,0.515,0.483,1.233,1.125,0.035,0.265,0.229,0.515,0.492,0.657,0.312,0.281,0.428,0.047
"5/8in",11,0.642,0.605,1.495,1.375,0.038,0.316,0.272,0.642,0.616,0.807,0.406,0.375,0.552,0.078
"3/4in",10,0.768,0.729,1.754,1.625,0.041,0.368,0.314,0.768,0.741,0.983,0.5,0.469,0.662,0.078

"ASMEB18.5.8range"
"Dia","Min_L","Max_L"
"#10","3/8in","6in"
"1/4in","3/8in","6in"
"5/16in","3/8in","6in"
"3/8in","3/8in","6in"
"7/16in","3/8in","6in"
"1/2in","3/8in","6in"
"5/8in","3/8in","6in"
"3/4in","3/8in","6in"
