"ASMEB18.2.2.2def"
"Dia","TPI","F_max","F_min","H_max","H_min"
"1/4in",20,0.4375,0.425,0.21875,0.203
"5/16in",18,0.5625,0.547,0.265625,0.249
"3/8in",16,0.625,0.606,0.328125,0.310
"7/16in",14,0.75,0.728,0.375,0.356
"1/2in",13,0.8125,0.788,0.4375,0.418
"5/8in",11,1.0,0.969,0.546875,0.525
"3/4in",10,1.125,1.088,0.65625,0.632
"7/8in",9,1.3125,1.269,0.765625,0.740
"1in",8,1.5,1.450,0.875,0.847
"1 1/8in",7,1.6875,1.631,1.0,0.970
"1 1/4in",7,1.875,1.812,1.09375,1.062
"1 3/8in",6,2.0625,1.994,1.203125,1.169
"1 1/2in",6,2.25,2.175,1.3125,1.276
