"ASMEB18.21.1.7Adef"
"ASMEB18.21.1.7Bdef"
"Dia","d1_max","d1_min","d2_max","d2_min","h_max","h_min"
"1/4in",6.7818,6.5024,13.6144,12.7000,1.1430,0.8890
"5/16in",8.4328,8.1280,15.4178,14.9860,1.2700,1.0160
"3/8in",10.1092,9.7536,18.9992,17.7800,1.2700,1.0668
"7/16in",11.7856,11.3792,21.7932,20.3200,1.7018,1.2700
"1/2in",13.4620,13.0048,23.4696,22.3520,1.7018,1.3970
"9/16in",15.1384,14.6304,26.2636,25.1460,1.7018,1.3970
"5/8in",16.8402,16.2560,28.8290,27.9400,1.7018,1.4986
"3/4in",20.1930,19.5072,32.1310,31.4960,2.1336,1.7780
"7/8in",23.5458,22.7076,36.7538,35.5600,2.1336,1.9050
