"ASMEB18.21.1.3def"
"Dia","A_max","A_min","B_max","T_min","W_min","BW_min"
"#2",2.3876,2.2352,5.2832,0.6858,1.3462,0.9398
"#3",2.7178,2.5654,6.0706,0.8636,1.5748,1.0922
"#4",3.048,2.8956,6.4262,0.8636,1.5748,1.0922
"#5",3.3782,3.2258,7.62,1.143,2.0066,1.3970
"#6",3.7592,3.5814,7.9756,1.143,2.0066,1.3970
"#8",4.4196,4.2418,9.525,1.4478,2.4384,1.7018
"#10",5.08,4.9276,11.0236,1.7272,2.8448,1.9812
"#12",5.7658,5.588,12.319,2.032,3.3020,2.3114
"1/4in",6.604,6.4008,13.5636,2.1336,3.3528,2.3368
"5/16in",8.1788,7.9756,15.7226,2.7432,3.6322,2.5400
"3/8in",9.779,9.5758,18.7452,3.1242,4.318,3.0226
"7/16in",11.43,11.176,21.2090,3.6322,4.7244,3.3020
"1/2in",13.0048,12.7508,23.7490,4.1148,5.1816,3.6322
"9/16in",14.5796,14.3256,26.2890,4.6228,5.6642,3.9624
"5/8in",16.2814,15.9512,29.0830,5.1308,6.1468,4.2926
"11/16in",17.8816,17.5514,31.7500,5.5880,6.6040,4.6228
"3/4in",19.4564,19.1262,34.2900,6.0960,7.0866,4.9530
"13/16in",21.1328,20.7264,36.8300,6.6294,7.5692,5.3340
"7/8in",22.7076,22.3012,39.3700,7.2390,8.1280,5.6896
"15/16in",24.3332,23.9014,41.9100,7.8232,8.7630,6.1214
"1in",26.0096,25.4762,44.4754,8.3820,9.2964,6.5024
"1 1/16in",27.6098,27.0764,47.0154,8.9408,9.8806,6.9342
"1 1/8in",29.2862,28.6766,49.5554,9.5250,10.4140,7.3152
"1 3/16in",30.9118,30.2768,52.0700,10.0584,10.6680,7.4676
"1 1/4in",32.512,31.8516,54.6100,10.6680,11.1760,7.8232
"1 5/16in",34.1376,33.4518,57.1500,11.1252,11.1760,7.8232
"1 3/8in",35.7632,35.0266,59.6900,11.6332,12.4714,8.7376
"1 7/16in",37.3888,36.6268,62.2300,12.1158,12.9794,9.0678
"1 1/2in",38.9636,38.2016,64.2620,12.5984,13.3604,9.3472
"1 5/8in",42.2402,41.4782,70.7390,12.5984,13.3604,9.3472
"1 3/4in",45.4406,44.6532,76.8350,13.3604,13.3604,9.3472
"1 7/8in",48.6156,47.8282,76.9620,13.3604,13.3604,9.3472
"2in",51.7906,51.0032,80.1370,13.3604,13.5128,9.4488
