"DIN7504Kdef"
"Dia","screw thread dia","dc_max","dc_min","c_min","k_max","k_min","s_nom","s_min","e_min","k_prime_min","dp","d1_minor","pitch"
"ST3.5",3.5,8.3,7.6,0.6,3.45,3.2,5.5,5.32,5.96,1.55,2.8,2.5,1.3
"ST3.9",3.9,8.3,7.6,0.6,3.45,3.2,5.5,5.32,5.96,1.55,3.1,2.8,1.3
"ST4.2",4.2,8.8,8.2,0.9,4.25,4.0,7.0,6.78,7.59,1.9,3.6,3.0,1.4
"ST4.8",4.8,10.5,9.8,0.9,4.45,4.15,8.0,7.78,8.71,2.0,4.1,3.5,1.6
"ST5.5",5.5,11.0,10.0,1.0,5.45,5.15,8.0,7.78,8.71,2.7,4.8,4.1,1.8
"ST6.3",6.3,13.2,12.2,1.0,6.45,6.15,10.0,9.78,10.95,3.3,5.8,4.8,1.8

"DIN7504Klength"
"Nominal","lmin","lmax"
"9.5",9.5,9.5
"13",13,13
"16",16,16
"19",19,19
"22",22,22
"25",25,25
"32",32,32
"38",38,38
"45",45,45
"50",50,50

"DIN7504Krange"
"Dia","Min_L","Max_L"
"ST3.5","9.5","25"
"ST3.9","13","38"
"ST4.2","13","38"
"ST4.8","13","50"
"ST5.5","16","50"
"ST6.3","19","50"

"DIN7504Kthreadlength"
"Nominal_Length_L","ST2.9","ST3.5","ST3.9","ST4.2","ST4.8","ST5.5","ST6.3"
"9.5",3.25,2.85,"","","","",""
"13",6.6,6.2,5.8,4.3,4.7,"",""
"16",9.6,9.2,8.8,7.3,5.8,5.0,""
"19",12.5,12.1,11.7,10.3,8.7,8.0,7.0
"22","",15.1,14.7,13.3,11.7,11.0,10.0
"25","",18.1,17.7,16.3,14.7,14.0,13.0
"32","","",24.5,23.0,21.5,21.0,20.0
"38","","",30.5,29.0,27.5,27.0,26.0
"45","","","","",34.5,34.0,33.0
"50","","","","",39.5,39.0,38.0
