"ASMEB18.5.9def"
"Dia","TPI","E_max","E_min","A_max","A_min","Cangle","F","H_max","H_min","O_max","O_min","AC","P_max","P_min","S","Q","R"
"#10",24,0.199,0.182,0.79,0.75,9,0.025,0.082,0.062,0.21,0.185,0.236,0.125,0.094,0.131,0.031,0.031
"1/4in",20,0.26,0.237,1.008,0.969,9,0.035,0.098,0.078,0.28,0.245,0.321,0.219,0.188,0.228,0.031,0.031
"5/16in",18,0.324,0.298,1.227,1.188,9,0.035,0.114,0.094,0.342,0.307,0.408,0.25,0.219,0.262,0.031,0.031
"3/8in",16,0.388,0.36,1.352,1.312,11,0.04,0.145,0.125,0.405,0.368,0.481,0.25,0.219,0.287,0.047,0.031
"7/16in",14,0.452,0.421,1.477,1.438,13,0.04,0.176,0.156,0.468,0.431,0.571,0.281,0.25,0.336,0.047,0.031
"1/2in",13,0.515,0.483,1.602,1.562,12,0.04,0.176,0.156,0.53,0.492,0.657,0.281,0.25,0.324,0.047,0.031

"ASMEB18.5.9range"
"Dia","Min_L","Max_L"
"#10","3/8in","6in"
"1/4in","3/8in","6in"
"5/16in","3/8in","6in"
"3/8in","3/8in","6in"
"7/16in","3/8in","6in"
"1/2in","3/8in","6in"
