"ASMEB18.5.10def"
"Dia","TPI","E_max","E_min","A_max","A_min","B_max","B_min","H_max","H_min","K","R"
"1/4in",20,0.26,0.237,0.5,0.488,0.28,0.245,0.204,0.172,0.438,0.031
"5/16in",18,0.324,0.298,0.625,0.609,0.342,0.307,0.267,0.233,0.5,0.031
"3/8in",16,0.388,0.36,0.75,0.731,0.405,0.368,0.331,0.295,0.625,0.031
"7/16in",14,0.452,0.421,0.875,0.853,0.468,0.431,0.394,0.356,0.875,0.031
"1/2in",13,0.515,0.483,1.0,0.975,0.53,0.492,0.458,0.418,0.875,0.031
"5/8in",11,0.642,0.605,1.25,1.218,0.675,0.616,0.585,0.541,1.062,0.062
"3/4in",10,0.768,0.729,1.5,1.462,0.8,0.741,0.649,0.601,1.25,0.062
"7/8in",9,0.895,0.852,1.75,1.706,0.938,0.865,0.776,0.724,1.375,0.062
"1in",8,1.022,0.976,2.0,1.95,1.063,0.99,0.903,0.847,1.5,0.062

"ASMEB18.5.10range"
"Dia","Min_L","Max_L"
"1/4in","3/8in","6in"
"5/16in","3/8in","6in"
"3/8in","3/8in","6in"
"7/16in","3/8in","6in"
"1/2in","3/8in","6in"
"5/8in","3/8in","6in"
"3/4in","3/8in","6in"
"7/8in","3/8in","6in"
"1in","3/8in","6in"
