"ISO10511def"
"Dia","P","da_max","da_min","dw","e","h_max","h_min","m","mw","s_max","s_min"
"M3",0.5,3.45,3.0,4.56,6.01,3.9,3.42,1.55,1.24,5.5,5.32
"M4",0.7,4.6,4.0,5.9,7.66,5.0,4.52,1.95,1.56,7.0,6.78
"M5",0.8,5.75,5.0,7.2,8.79,5.0,4.52,2.45,1.96,8.0,7.78
"M6",1.0,6.75,6.0,8.88,11.05,6.0,5.52,2.9,2.32,10.0,9.78
"M7",1.0,7.75,7.0,9.63,12.12,6.46,5.88,3.4,2.72,11.0,10.73
"M8",1.25,8.75,8.0,11.63,14.38,6.76,6.18,3.7,2.96,13.0,12.73
"M10",1.5,10.8,10.0,14.63,17.77,8.56,7.98,4.7,3.76,16.0,15.73
"M12",1.75,12.96,12.0,16.63,20.03,10.23,9.53,5.7,4.56,18.0,17.73
"M14",2.0,15.12,14.0,19.64,23.36,11.32,10.22,6.42,5.14,21.0,20.67
"M16",2.0,17.28,16.0,22.49,26.75,12.42,11.32,7.42,5.94,24.0,23.67
"M18",2.5,19.44,18.0,24.85,29.56,14.52,13.42,8.42,6.74,27.0,26.16
"M20",2.5,21.6,20.0,27.7,32.95,15.2,13.4,9.1,7.28,30.0,29.16
"M22",2.5,23.76,22.0,31.35,37.29,16.8,15.0,9.9,7.92,34.0,33.0
"M24",3.0,25.92,24.0,33.25,39.55,17.8,16.0,10.9,8.72,36.0,35.0
"M27",3.0,29.16,27.0,38.0,45.2,19.8,17.7,12.4,9.92,41.0,40.0
"M30",3.5,32.4,30.0,42.75,50.85,22.2,20.1,13.9,11.12,46.0,45.0
"M33",3.5,35.64,33.0,46.55,55.37,23.7,21.6,15.4,12.32,50.0,49.0
"M36",4.0,38.88,36.0,51.11,60.79,26.4,24.3,16.9,13.52,55.0,53.8
"M39",4.0,42.12,39.0,55.86,66.44,28.3,26.2,18.2,14.56,60.0,58.8
