"ASMEB18.5.6def"
"Dia","TPI","E_max","E_min","A_max","A_min","H_max","H_min","O_max","O_min","AC","P_max","P_min","S","Q","R"
"#10",24,0.199,0.182,0.656,0.625,0.114,0.094,0.199,0.185,0.236,0.125,0.094,0.069,0.031,0.031
"1/4in",20,0.26,0.237,0.844,0.813,0.145,0.125,0.26,0.245,0.321,0.156,0.125,0.087,0.031,0.031
"5/16in",18,0.324,0.298,1.031,1.0,0.176,0.156,0.324,0.307,0.408,0.187,0.156,0.105,0.031,0.031
"3/8in",16,0.388,0.36,1.219,1.188,0.208,0.188,0.388,0.368,0.481,0.219,0.188,0.131,0.047,0.031
"7/16in",14,0.452,0.421,1.406,1.375,0.239,0.219,0.452,0.431,0.571,0.25,0.219,0.149,0.047,0.031
"1/2in",13,0.515,0.483,1.594,1.563,0.27,0.25,0.515,0.492,0.657,0.281,0.25,0.168,0.047,0.031

"ASMEB18.5.6range"
"Dia","Min_L","Max_L"
"#10","3/8in","6in"
"1/4in","3/8in","6in"
"5/16in","3/8in","6in"
"3/8in","3/8in","6in"
"7/16in","3/8in","6in"
"1/2in","3/8in","6in"
