"ASMEB18.5.5def"
"Dia","TPI","E_max","E_min","A_max","A_min","H_max","H_min","M_max","M_min","O_max","O_min","P_max","P_min","R"
"#10",24,0.199,0.182,0.469,0.438,0.114,0.094,0.098,0.078,0.395,0.375,0.088,0.076,0.031
"1/4in",20,0.26,0.237,0.594,0.563,0.145,0.125,0.114,0.094,0.458,0.438,0.104,0.094,0.031
"5/16in",18,0.324,0.298,0.719,0.688,0.176,0.156,0.145,0.125,0.551,0.531,0.135,0.125,0.031
"3/8in",16,0.388,0.36,0.844,0.782,0.208,0.188,0.161,0.141,0.645,0.625,0.151,0.141,0.031
"7/16in",14,0.452,0.421,0.969,0.907,0.239,0.219,0.192,0.172,0.739,0.719,0.182,0.172,0.031
"1/2in",13,0.515,0.483,1.094,1.032,0.27,0.25,0.208,0.188,0.833,0.813,0.198,0.188,0.031

"ASMEB18.5.5range"
"Dia","Min_L","Max_L"
"#10","3/8in","6in"
"1/4in","3/8in","6in"
"5/16in","3/8in","6in"
"3/8in","3/8in","6in"
"7/16in","3/8in","6in"
"1/2in","3/8in","6in"
